ID Number,Name,Fed,Sex,Title,WTit,OTit,Rating,Gms,K,RatingMonth,B-day,Flag
11701692,Abdianwall shaker,AFG,M,,,,1669,0,20,SEP25,2005,i
11700467,"Abdul Khaliq, Wais",AFG,M,,,,1970,0,20,SEP25,1988,i
11702974,Abdul Razaq Ghazi zadeh,AFG,M,,,,1643,0,20,SEP25,1979,i
11704470,Abdul Tamim Ghafoory,AFG,M,,,,1617,0,20,SEP25,1989,i
11701714,Abidy Ahmad Rashid,AFG,M,,,,1676,0,20,SEP25,1993,i
11700033,"Ahmadi, Zabiullah",AFG,M,,,,2053,0,20,SEP25,1988,
11703482,Allah dad Asadi,AFG,M,,,,1851,0,20,SEP25,1985,i
11701765,Amini Ezatullah,AFG,M,,,,1631,0,20,SEP25,1981,
11700777,"Amini, Habibullah",AFG,M,CM,,,2034,0,20,SEP25,1981,i
11701595,Aminullah Nazari,AFG,M,,,,1507,0,20,SEP25,2005,i
11701773,Amir Ali Mahmoodi,AFG,M,,,,1599,0,20,SEP25,2003,i
11703415,Amir Rezaee,AFG,M,,,,1558,0,20,SEP25,1999,i
11704713,Angar Khamed,AFG,M,,,,1961,0,40,SEP25,2010,
11700203,"Aria, Kamos",AFG,M,,,,1847,0,20,SEP25,1985,
11701579,Arsalan Zmarial,AFG,M,,,,1543,0,40,SEP25,2007,i
11700025,"Asefi, Zaheeruddeen",AFG,M,FM,,,1949,0,20,SEP25,1965,
11701137,"Ashrafi, Sulaiman Ahmad",AFG,M,CM,NI,,1992,9,20,SEP25,1988,
11702907,Azimi Nabiullah,AFG,M,,,,1687,0,20,SEP25,1969,i
11701897,"Azimy, Hekmatullah",AFG,M,,,,1790,0,20,SEP25,1992,i
11701285,"Badghisi, Jarullah",AFG,M,,,,1868,0,20,SEP25,1998,i
11701790,Fahimullah Ziaee,AFG,M,,,,1692,0,20,SEP25,1979,i
11702613,Farahi Eimal,AFG,M,,,,1732,0,20,SEP25,1996,i
11702524,Farahmand Ahmad Hamed,AFG,M,,,,1860,0,20,SEP25,2000,i
11700599,"Farazi, Khaiber",AFG,M,CM,,,2159,0,20,SEP25,1984,i
11700998,"Farzad, Khusraw",AFG,M,,,,1860,0,20,SEP25,0,i
11702923,Feraidon Naweed,AFG,M,,,,1428,0,20,SEP25,1983,i
11701188,"Ghafoori, Mohammad Naeem",AFG,M,,,,1831,0,20,SEP25,1981,i
11701145,"Habibzada, Mohebullah",AFG,M,,,,1798,0,20,SEP25,1990,i
11702516,Hamdard Mohmmad Dawood,AFG,M,,,,1695,0,20,SEP25,1973,i
11701854,"Hashemi, Sayed Ahmad Agha",AFG,M,,,,1736,0,20,SEP25,1979,i
11702559,Hassibullah Badghisi,AFG,M,,NA,,1635,0,20,SEP25,2002,i
11702133,"Hosini, Abdulrahim",AFG,M,,,,1723,0,20,SEP25,1987,
11700076,"Ibrahim, Ismail",AFG,M,,,,1990,0,20,SEP25,1976,i
11701633,Kanishka Fatihyar,AFG,M,,,,1642,0,20,SEP25,2001,i
11700947,"Kanz, Ahmad Safy",AFG,M,CM,,,2270,0,20,SEP25,1997,
11704268,Khal Momin Noor Zada,AFG,M,,,,1726,0,20,SEP25,1998,i
11702630,Khatibi Mohammad Qais,AFG,M,,NA,,1777,0,20,SEP25,2003,i
11703229,Mehr Ali Ghafory,AFG,M,,,,1679,0,20,SEP25,1992,i
11700491,"Mehrad, Ahmad Tamim",AFG,M,CM,,,2030,0,20,SEP25,1990,
11703555,Mirwais Amiri,AFG,M,,,,1699,0,20,SEP25,1985,i
11700785,"Mirzaad, S.wahabuddin",AFG,M,FM,,,1927,0,20,SEP25,1987,
11701943,"Mohammad Samea, Elyas",AFG,M,,,,1698,0,20,SEP25,1994,i
11701234,"Mohibi, Abasin",AFG,M,,,,1841,0,20,SEP25,1983,
11701552,"Mohtaat, Homayoun",AFG,M,,,,1819,0,20,SEP25,1972,i
