ID Number,Name,Fed,Sex,Title,WTit,OTit,FOA,Rating,Gms,K,B-day,Flag
6520839,"Abarca Calderon, Jose Fabian",CRC,M,,,,1642,AUG25,0,40,2002,
6509380,"Abarca Matarrita, Juan Pablo",CRC,M,,,,1630,AUG25,0,20,2004,
6504442,"Acevedo Mendez, Jennifer",CRC,F,WFM,WFM,NA,1888,AUG25,0,20,1999,wi
6510884,"Acuna Carrillo, Ricardo",CRC,M,,,,1796,AUG25,0,40,1967,i
6513824,"Acuna Nunez, Ignacio",CRC,M,,,,1718,AUG25,0,40,2008,
6511856,"Adanis Mora, Naomy",CRC,F,,,,1502,AUG25,0,20,2004,wi
6563511,"Aguero Contreras, Reychel Tamara",CRC,F,,,,1505,AUG25,4,40,2009,w
6550096,"Aguero Espinoza, Sebasthian",CRC,M,,NA,,1843,AUG25,6,20,2003,
6518400,"Aguero Monge, Alicia Natalia",CRC,F,,,,1432,AUG25,0,40,2009,w
6501931,"Aguilar Alfaro, Juan Carlos",CRC,M,,,,1963,AUG25,0,20,1990,i
6532918,"Aguilar Avila, Daniel",CRC,M,,,,1480,AUG25,0,40,2010,
6500994,"Aguilar Pina, Luis Gerardo",CRC,M,,,,1874,AUG25,6,20,1962,
6501966,"Alfaro Guillen, Jose Raul",CRC,M,,,,2035,AUG25,0,20,1991,i
6500749,"Alfaro Murillo, Carlos Andres",CRC,M,CM,,,2195,AUG25,0,20,1985,i
6500013,"Alfaro Rojas, Alfonso Jose",CRC,M,FM,,,2295,AUG25,0,20,1989,
6533760,"Alpizar Castro, Luis",CRC,M,,,,1531,AUG25,0,20,2003,i
6505775,"Alpizar Gonzalez, Marlon Alberto",CRC,M,,,,1634,AUG25,0,20,1996,i
6510515,"Alvarado Alvarez, Rafael Angel",CRC,M,,,,1440,AUG25,0,20,1999,i
6553761,"Alvarado Guzman, Alberto",CRC,M,,,,1552,AUG25,0,40,1981,i
6555322,"Alvarado Machado, Bryan Alberto",CRC,M,,,,1678,AUG25,5,40,2011,
6555071,"Alvarado Machado, E. Daniela",CRC,F,,,,1487,AUG25,2,40,2008,w
6523641,"Alvarado Monge, Noelia Patricia",CRC,F,,,,1516,AUG25,0,20,2001,wi
6510949,"Alvarado Montero, Jose Gerardo",CRC,M,,,,1617,AUG25,0,40,1993,i
6564356,"Alvarado Wiciak, Ana Luisa",CRC,F,,,,1576,AUG25,0,40,2010,w
6500420,"Alvarado, Dizan Ernesto",CRC,M,,,,1946,AUG25,0,20,1967,i
6513590,"Alvarez Alvarez, Johanel",CRC,M,,NA,,1596,AUG25,0,20,2002,i
6516734,"Alvarez Calderon, Leana Maria",CRC,F,,,,1518,AUG25,0,20,2000,wi
6559468,"Alvarez Gonzalez, Cristopher",CRC,M,,,,1486,AUG25,0,40,2010,
6504515,"Alvarez Mora, Jorge Mario",CRC,M,,,,AIM,AUG25,1822,0,1994,
6558828,"Alvarez Ramirez, Emanuel",CRC,M,,,,1542,AUG25,4,40,2012,
6512526,"Alvarez Ugalde, Isaac",CRC,M,,,,1462,AUG25,0,40,2006,i
6502822,"Amaya Madrigal, Alvaro Josue",CRC,M,,,,1884,AUG25,0,20,1981,
6502008,"Anchia Cabezas, Adonay",CRC,M,,,,1499,AUG25,0,20,1973,i
6501435,"Angulo Cubero, Oscar",CRC,M,,AO,,AGM,AUG25,2112,0,1989,i
6509177,"Angulo Hernandez, Maria Jesus",CRC,F,,,,1713,AUG25,0,20,2004,wi
6544045,"Angulo Perez, Sebastian",CRC,M,CM,,,1784,AUG25,0,40,2014,i
6518281,"Angulo Valladares, Kyara Melissa",CRC,F,,,,1480,AUG25,0,40,2006,wi
6502830,"Aragon Masis, Sergio",CRC,M,,,,1724,AUG25,0,20,1980,
6502946,"Araya Fuentes, Cristian",CRC,M,,"FI,IA",,1883,AUG25,0,20,1994,
6518010,"Araya Mera, Marisa Raquel",CRC,F,,,,1459,AUG25,0,40,2004,w
6511520,"Araya Tropper, Ariel",CRC,M,,,,1548,AUG25,0,40,2007,i
6500188,"Araya Umana, Carlos",CRC,M,CM,,,1881,AUG25,0,20,1955,i
6509088,"Arce Castro, Danny",CRC,M,,,,1756,AUG25,0,20,1994,i
6507948,"Arce Mendez, Elias",CRC,M,,,,1817,AUG25,0,20,1998,i
6503942,"Arce Oviedo, Cesar",CRC,M,,,,1765,AUG25,4,20,1975,
6562825,"Ardon Porras, Andres",CRC,M,,,,1506,AUG25,6,40,2006,
6517307,"Arevalo Rojas, Andrea",CRC,F,,,,1494,AUG25,0,20,2002,wi
6507301,"Arguedas Bolanos, Sharline",CRC,F,,,,1591,AUG25,0,20,2001,w
6571310,"Arguedas Gomez, Jeferson Antonio",CRC,M,,,,1671,AUG25,0,40,2004,
6530400,"Arguello Alvarado, Gael",CRC,M,,,,1567,AUG25,6,40,2007,
6555861,"Arias Carmona, Diana",CRC,F,,,,1531,AUG25,0,40,2008,w
6504337,"Arias Fonseca, Martin",CRC,M,,,,1737,AUG25,0,20,1977,i
6500269,"Arias Formoso, Rodolfo",CRC,M,,,,1994,AUG25,9,20,1956,
6518893,"Arias Gomez, Luis Alfredo",CRC,M,,,,1612,AUG25,0,20,2003,i
6523455,"Arias Mejias, Jose Alexis",CRC,M,,,,1603,AUG25,0,20,1983,i
6569234,"Arias Morera, Marco Tulio",CRC,M,,,,1550,AUG25,0,40,1991,
6520120,"Arias Narvaez, Carlos Mario",CRC,M,,,,1570,AUG25,0,20,1991,i
