ID Number,Name,Fed,Sex,Title,WTit,OTit,Rating,Gms,K,RatingMonth,B-day,Flag
6405525,"Abreu Jean, Carlos Paul",DOM,M,FM,,,2274,0,20,DEC25,1990,i
6400400,"Acevedo Vargas, Julio",DOM,M,,NA,,1974,9,20,DEC25,1963,
6407862,"Acosta, Andres",DOM,M,,,,1792,0,20,DEC25,1974,
6412513,"Acosta, Orlando",DOM,M,,,,1753,0,40,DEC25,0,
6434908,"Aguero Mercedes, Rose Esmeralda",DOM,F,,,,1569,0,40,DEC25,2011,w
6401279,"Alegria, Abel",DOM,M,,,,2057,0,20,DEC25,1957,
6437354,"Almonte Rosario, Bruno Said",DOM,M,,,,1554,0,40,DEC25,2016,
6409431,"Almonte, Denio",DOM,M,,,,1927,0,40,DEC25,1981,
6415725,"Almonte, Henrry Nicolas",DOM,M,,,,1647,0,40,DEC25,1991,
6400310,"Alvarado Sepulveda, Nelson Damian",DOM,M,FM,,,2181,0,20,DEC25,1967,
6416896,"Araujo Sanchez, Josue",DOM,M,IM,,,2239,0,20,DEC25,2001,
6407552,"Arias Gil, Frankely Rafael",DOM,M,,"SI,NA",,1865,0,20,DEC25,1992,
6400655,"Arias, William Alfredo",DOM,M,CM,,,1979,0,20,DEC25,1968,
6402720,"Arvelo Leo, Gian Carlo",DOM,M,FM,,,2135,0,20,DEC25,1988,i
6440509,"Asencio Santana, Edgar Steven",DOM,M,,,,1714,9,40,DEC25,2001,
6425194,"Ayats Marcelo, Esoj Leugim",DOM,M,,SI,,2016,0,20,DEC25,2006,
6423841,"Batista Aquino, Cesia Patrick",DOM,F,,,,1679,0,40,DEC25,2001,w
6416730,"Batista Serrano, Angel Yuliano",DOM,M,,,,1723,0,20,DEC25,1999,i
6408559,"Batlle Ysa, Rafael Jorge",DOM,M,,,,1916,0,20,DEC25,1980,
6406688,"Bencosme Vargas, Jose Luis",DOM,M,,,,1900,0,20,DEC25,1982,
6401716,"Benitez Pacheco, Alejandro",DOM,M,,,,2193,0,20,DEC25,1968,i
6402410,"Bourdierd, Luis",DOM,M,,,,2047,0,20,DEC25,1987,i
6406610,"Brito Rondon, Enmanuel De Jesus",DOM,M,,,,1984,0,20,DEC25,1990,
6408265,"Brunet, Eric",DOM,M,,,,1762,0,20,DEC25,1965,i
6441670,"Bueno Rostro, Kevin",DOM,M,,,,1656,0,40,DEC25,1990,
6433090,"Cabreja Lora, Manuel Fidel",DOM,M,,,,1666,0,40,DEC25,2009,i
6407870,"Cabrera Lorenzo, Luis Manuel",DOM,M,,NA,,1841,0,40,DEC25,1981,
6420761,"Caceres, Ronalda",DOM,F,,,,1703,0,20,DEC25,1998,wi
6408885,"Camacho Campusano, David Daniel",DOM,M,FM,,,2233,0,20,DEC25,1993,
6405061,"Caraballo Del Rosario, Abraham Ernesto",DOM,M,,,,1937,0,20,DEC25,1989,
6433448,"Casado Carrasco, Luis Alexander",DOM,M,,,,1756,0,40,DEC25,1999,i
6402097,"Castillo Garcia, Josue Natanael",DOM,M,CM,SI,,2140,0,20,DEC25,1984,
6439616,"Castillo Henriquez, Crystal",DOM,F,,,,1684,0,40,DEC25,2010,w
6402739,"Castillo Ortiz, Nelson Ambrioso",DOM,M,,,,2028,0,20,DEC25,1964,i
6402747,"Castillo Rivera, Nelson Javier",DOM,M,,,,2054,0,20,DEC25,1992,
6405274,"Castillo Rosa, Kelvin Santiago",DOM,M,CM,,,2009,0,20,DEC25,1968,i
6403735,"Castillo Vasquez, Adgart Miguel",DOM,M,,,,1979,0,20,DEC25,1986,
6423647,"Cedeno Castro, Juan Carlos",DOM,M,,,,1740,0,20,DEC25,1972,i
6433278,"Cespedes Puntier, Leonardo",DOM,M,,,,1810,0,40,DEC25,1976,
6426387,"Collado Diaz, Herlin Antonio",DOM,M,,,,1621,0,40,DEC25,2005,i
6401821,"Concepcion, Ivan",DOM,M,,,,1839,0,20,DEC25,1975,
6402771,"Crispin Ferreras, Darvi Abraham",DOM,M,CM,,,2105,0,20,DEC25,1993,
6408567,"Cruz Cruceta, Eduard Francisco",DOM,M,,,,1889,0,20,DEC25,1984,i
6405282,"Cruz Ferreras, Julio Angel",DOM,M,,,,2129,0,20,DEC25,1967,i
6425321,"Cruz Gonzalez, Abel Tomas Vianney",DOM,M,,,,1728,0,20,DEC25,1963,i
6403743,"De Jesus Rosa, Michel",DOM,M,,NA,,2002,0,20,DEC25,1984,
6439136,"De La Rosa Martinez, Miguelina",DOM,F,,,,1818,9,40,DEC25,2004,w
6419321,"De Los Santos Abad, Bryan",DOM,M,,,,1866,0,20,DEC25,1991,i
6422403,"De Los Santos Guerrero, Hector Julio",DOM,M,,,,1822,0,40,DEC25,1965,
6439632,"De Los Santos Martinez, Vrandon Eliezer",DOM,M,,,,1510,0,40,DEC25,2007,
6400264,"De los Santos Nunez, Eddy",DOM,M,,,,2080,0,20,DEC25,1971,
6406173,"Del Rosario Batista, Nobel Oscar",DOM,M,CM,,,1975,0,20,DEC25,1980,
6406165,"Del Rosario Moreno, Carlos",DOM,M,,,,2043,0,20,DEC25,1982,i
6428738,"Diaz Diaz, Federico",DOM,M,,,,1800,0,20,DEC25,2000,i
6422705,"Diaz Espaillat, Ariangel",DOM,M,,,,1831,0,20,DEC25,1994,
