ID Number,Name,Fed,Sex,Title,WTit,OTit,Rating,Gms,K,RatingMonth,B-day,Flag
7204388,"Al-Jay, Zaid",FAI,M,,"SI,LSI",,1705,0,20,MAR26,1990,
7204434,"Anderssen, Leif",FAI,M,,,,1561,2,20,MAR26,1976,
7200471,"Andreasen, Andreas",FAI,M,,,,1854,1,20,MAR26,1963,
7203721,"Andreasen, Hjalmar",FAI,M,,,,1565,0,40,MAR26,1970,
7200528,"Andreasen, Jakup A.R.",FAI,M,,,,1995,0,20,MAR26,1980,i
7200110,"Andreasen, Joan Hendrik",FAI,M,,,,2181,2,20,MAR26,1970,
7201400,"Andreasen, Jon S.",FAI,M,,,,1767,0,20,MAR26,1965,i
7205376,"Andreasen, Paetur",FAI,M,,,,1526,0,40,MAR26,2012,
7201249,"Anthoniussen, Mannbjorn",FAI,M,,,,1665,1,20,MAR26,1983,
7200102,"Apol, Luitjen",FAI,M,,,,2010,0,40,MAR26,1952,
7202466,"Apol, Luitjen Akselsson",FAI,M,FM,,,2299,12,20,MAR26,2006,
7205805,"Aslakkson, Andrias Gothe",FAI,M,,,,1531,1,40,MAR26,2011,
7200234,"Atlason, Jon",FAI,M,,,,1964,2,20,MAR26,1988,
7200544,"Augustinussen, Bernhard",FAI,M,,,,1940,2,20,MAR26,1973,
7205120,"Baldursson, Danny",FAI,M,,,,1578,0,40,MAR26,1990,i
7200668,"Baldursson, Rani",FAI,M,,,,2031,2,20,MAR26,1986,
7200021,"Berg, Margar M.",FAI,M,,,,1893,2,20,MAR26,1991,
7200420,"Berg, Olaf",FAI,M,FM,,,2172,0,20,MAR26,1986,i
7206178,"Berglind, Noel Sunason",FAI,M,,,,1566,2,40,MAR26,2013,
7201990,"Bertholdsen, Bjarki",FAI,M,,,,1619,0,20,MAR26,2000,i
7203624,"Bjarnason, Bessi",FAI,M,,,,1642,0,20,MAR26,1963,i
7204906,"Blaberg, Sigvaldur",FAI,M,,,,1506,3,40,MAR26,2008,
7203225,"Bo, Rani I",FAI,M,,,,1808,0,40,MAR26,1998,i
1407694,"Brekka, Hanus",FAI,M,,,,2146,1,20,MAR26,1965,
7200129,"Brekka, Martin",FAI,M,,,,2044,1,20,MAR26,1962,
7204655,"Chendela, Emmanuel",FAI,M,,,,1538,0,40,MAR26,1970,i
7200706,"Christiansen, Esbern",FAI,M,,,,1900,0,20,MAR26,1980,
7202946,"Christiansen, Ragnar",FAI,M,,,,1795,0,20,MAR26,1992,i
7200498,"Christiansen, Samal",FAI,M,,,,1874,1,20,MAR26,1957,
7200790,"Christoffersen, Heri",FAI,M,,,,1775,0,20,MAR26,1972,
7201648,"Dahl, Karl M",FAI,M,,,,1802,2,20,MAR26,1994,
7200803,"Dalsgard, Arnbjorn O",FAI,M,,,,1839,1,20,MAR26,1971,
7206062,"Dalslid, Abraham",FAI,M,,,,1627,1,40,MAR26,1988,
7201079,"Dam, Arni M.",FAI,M,,,,1625,0,40,MAR26,1961,
7200145,"Dam, Vagnur",FAI,M,,,,1942,2,20,MAR26,1991,
7201893,"Danielsen, Andrias",FAI,M,,,,1976,2,20,MAR26,1991,
7204760,"Danielsen, Eydbjartur",FAI,M,,,,1446,0,40,MAR26,2006,i
7205716,"Danielsen, Eydun F",FAI,M,,,,1915,0,40,MAR26,2004,
7200285,"Danielsen, Heini",FAI,M,,,,2166,0,20,MAR26,1968,i
7202300,"Danielsen, Meinhard",FAI,M,,,,1811,2,20,MAR26,1970,
7203233,"Davastovu, Eydalvur I",FAI,M,,,,1656,0,40,MAR26,1990,i
7204914,"Davidsen, Andreas",FAI,M,,,,1400,0,40,MAR26,2008,i
7203098,"Davidsen, Rokur",FAI,M,,,,1899,4,40,MAR26,2008,
7201150,"Debes, Ingolf",FAI,M,,,,1753,1,20,MAR26,1968,
7202091,"Dimun , Janus Ur",FAI,M,,,,1486,0,40,MAR26,1976,i
7203160,"Djurhuus, Arant",FAI,M,,,,1919,2,20,MAR26,1986,
7204396,"Djurhuus, Kim",FAI,M,,,,1786,0,40,MAR26,1970,i
7200633,"Dragaberg, Rogvi",FAI,M,,,,1920,0,20,MAR26,1990,i
7200749,"Dragaberg, Runi",FAI,M,,,,1902,0,40,MAR26,1983,i
7201230,"Durhuus, Kari O.",FAI,M,,,,1821,0,20,MAR26,1954,i
7202318,"Durhuus, Kim",FAI,M,,,,1748,1,40,MAR26,1967,
7202474,"Egholm, Hans",FAI,M,,,,1513,0,40,MAR26,1966,i
1408283,"Egholm, Magnus",FAI,M,,,,1919,1,20,MAR26,1965,
7200447,"Egilstoft, Rogvi",FAI,M,FM,,,2309,2,20,MAR26,1992,
7206682,"Eikholm, Alexander Klevang",FAI,M,,,,1728,8,40,MAR26,2008,
7200501,"Ellefsen, Johannes",FAI,M,,,,1896,0,40,MAR26,1957,i
7204540,"Ellingsgaard, Brian",FAI,M,,,,1498,0,40,MAR26,2005,i
7203683,"Ellingsgaard, Ingi",FAI,M,,,,1740,0,20,MAR26,1978,
7205600,"Ellingsgaard, Leon J",FAI,M,,,,1605,5,40,MAR26,2012,
7201613,"Eskildsen, Henrik",FAI,M,,,,1878,0,20,MAR26,1967,i
7201443,"Eydsteinsson, Silas",FAI,M,,,,2054,2,20,MAR26,1998,
7204558,"Fagraklett, Virgar",FAI,M,,,,1691,2,20,MAR26,1970,
7201451,"Finnsson, Eli W.",FAI,M,,,,1838,0,20,MAR26,1999,
7202008,"Fjallheim, Benjamin Reinert",FAI,M,,,,1738,0,20,MAR26,2005,i
7201095,"Fjallheim, Elmar Reinert",FAI,M,,,,1757,0,20,MAR26,1974,i
7201788,"Fjallheim, Leif Reinert",FAI,M,,,,1955,0,20,MAR26,2003,i
7203578,"Foged, Janus Ferja",FAI,M,,,,1476,0,40,MAR26,2009,i
7203365,"Funningstovu, Brandur I",FAI,M,,,,1617,0,40,MAR26,2000,i
7200510,"Gaard, Ingolf",FAI,M,,FI,,1936,4,20,MAR26,1981,
7200714,"Gaard, Jaspur T.",FAI,M,,,,1786,1,20,MAR26,1985,
7200153,"Gregersen, Einar",FAI,M,,,,1950,2,20,MAR26,1995,
7200226,"Gregersen, Hedin",FAI,M,,,,1981,2,20,MAR26,1996,
7200820,"Gudmundsen, Torur",FAI,M,,,,1729,0,20,MAR26,1954,
7203861,"Gudnason, David",FAI,M,,,,1794,1,40,MAR26,1970,
7206526,"Gullaksen, Jogvan",FAI,M,,,,1502,0,40,MAR26,2000,
7201265,"Guttesen, Joannes",FAI,M,,,,1836,1,20,MAR26,1969,
7203845,"Hannesarson, Silas G.",FAI,M,,,,1816,0,40,MAR26,2002,i
7200765,"Hansen, Birgi",FAI,M,,,,1896,0,40,MAR26,1970,
7204515,"Hansen, Hans Kari",FAI,M,,,,1799,2,40,MAR26,1984,
7200838,"Hansen, Hanus I",FAI,M,,,,1877,0,20,MAR26,1980,
7205325,"Hansen, Hardi",FAI,M,,,,1783,0,40,MAR26,1970,
7200269,"Hansen, Herborg",FAI,F,,,,1865,0,20,MAR26,1990,wi
7200200,"Hansen, Herluf",FAI,M,,,,1964,1,20,MAR26,1973,
7200048,"Hansen, Jens Kristian",FAI,M,,,,2039,0,20,MAR26,1961,
7200307,"Hansen, Joannes V.",FAI,M,,,,1870,0,20,MAR26,1979,
7202792,"Hansen, Jogvan I.",FAI,M,,,,1734,2,20,MAR26,1993,
7201222,"Hansen, Johan E.",FAI,M,,,,1727,1,20,MAR26,1977,
7200862,"Hansen, Rogvi K",FAI,M,,,,1821,0,40,MAR26,1984,
7203837,"Hattarstein, Jogvan Sigurd",FAI,M,,,,1575,1,40,MAR26,1970,
7206020,"Havardsson, Adrian",FAI,M,,,,1476,0,40,MAR26,1970,
7200323,"Heldarskard, Vagn",FAI,M,,,,1645,0,20,MAR26,1947,i
7204329,"Hermansen, Samson Nigroarson",FAI,M,,,,1419,2,40,MAR26,2014,
7201478,"Hojgaard, Brandur",FAI,M,,,,1888,1,20,MAR26,1969,
7204787,"Hojgaard, Elian",FAI,M,,,,1504,0,40,MAR26,2010,i
7200552,"Hojgaard, Samson",FAI,M,,,,1952,2,20,MAR26,1970,
7200897,"Hojgaard, Wenzel",FAI,M,,,,1896,0,20,MAR26,1961,i
7203241,"Hojsted, Ingi",FAI,M,,,,1798,2,20,MAR26,1985,
