ID Number,Name,Fed,Sex,Title,WTit,OTit,Rating,Gms,K,RatingMonth,B-day,Flag
17401470,"BIHAN-POUDEC, Jean Francois",GAB,M,,,,1713,0,40,SEP26,1985,
10609431,"Bongo Akanga Ndjila, Barthelemy",GAB,M,CM,,,1915,3,20,SEP26,1971,
17402956,"IWANGOU MBADINGA, Isaac Nephtaly",GAB,M,,,,1740,7,40,SEP26,2008,
645010,"Koumba, Mounguen Jose Evrard",GAB,M,,,,1907,1,20,SEP26,1979,
17402131,"KWAKEP, Mbomen Polain Cedric",GAB,M,,,,1725,1,40,SEP26,1991,
17400279,"NGONDJET FOSSO, Judes Yann",GAB,M,,,,1557,0,40,SEP26,1980,
17402824,"NOKOUANG LACKMOU, Andre Le doux",GAB,M,,,,1754,5,40,SEP26,1997,
17403030,"NZIE AUDZAGHE, Mederic Brendan",GAB,M,,,,1494,8,40,SEP26,2005,
17400937,"OTALY, Joannick",GAB,M,,,,1651,1,40,SEP26,1984,
17400899,"TATY, Charles",GAB,M,,,,1672,1,40,SEP26,1985,
