ID Number,Name,Fed,Sex,Title,WTit,OTit,Rating,Gms,K,RatingMonth,B-day,Flag
22900152,"Engonga Avomo, Pedro Manuel Envo",GEQ,M,,,,1631,0,40,APR26,1991,i
22900209,"Esono Nguema Okomo, Jose Primo",GEQ,M,,,,1665,0,40,APR26,1998,
22900101,"Etuba Badangue, Miguel Angel",GEQ,M,,NA,,1648,0,40,APR26,1989,i
22900659,"Eyama Oye, Justa Mbasogo",GEQ,F,,,,1524,0,40,APR26,2005,wi
22900144,"Gatjens Capche, Angel Estanislao",GEQ,M,,,,1830,0,40,APR26,1998,
22900780,"Idjabe Makuale, Malela",GEQ,M,,,,1568,5,40,APR26,1990,
22900667,"Menana Asangono, Mauricia Alba Bindang",GEQ,F,,,,1453,0,40,APR26,2003,wi
54585775,"Mompel Ferruz, Xavier",GEQ,M,FM,,,2355,4,20,APR26,2010,
22900241,"Naranjo Gonzalez, Oscar",GEQ,M,,NA,,1784,0,40,APR26,1983,
22900322,"Ndong Mangue, Cinthia Daniela Angue",GEQ,F,,,,1554,0,40,APR26,2004,wi
22900233,"Okue Abungono, Raimundo Asumu",GEQ,M,,,,1579,0,40,APR26,1998,
22900675,"Ondo Obono, Orpa Angue",GEQ,F,,,,1614,0,40,APR26,2003,wi
22900519,"Ter Sarkissoff, Nicolas Christopher Xavier",GEQ,M,,,,1831,0,40,APR26,1987,
22900063,"Varela Escudero, Felipe",GEQ,M,,"SI,NI,NA",,1636,1,40,APR26,1980,
