ID Number,Name,Fed,Sex,Title,WTit,OTit,Rating,Gms,K,RatingMonth,B-day,Flag
12601756,Aarush Thakkar,GHA,M,,,,1719,0,,JUN26,2008,i
12602280,Acheampong Dave Quansah Chief,GHA,M,,,,1647,0,,JUN26,2012,
12602680,Acheampong Jedidiah Nana Osei,GHA,M,,,,1560,0,,JUN26,2014,
12600202,"Ackun, Henry Mensah",GHA,M,,,,1837,0,20,JUN26,1987,i
12601713,Adanu Richard Kofi Mawuena,GHA,M,,,,1719,0,20,JUN26,1968,
12601098,"Addo, Pearl",GHA,F,,,,1422,0,20,JUN26,1995,wi
12600750,"Adu Jnr, Lionel",GHA,M,CM,,,1855,0,20,JUN26,1984,i
12600598,"Adu-Poku, Kwabena",GHA,M,CM,,,1920,0,20,JUN26,1996,i
12601381,"Aduamah, David Kofi",GHA,M,,,,1782,0,20,JUN26,1997,i
12604208,Agboado Johnny Edem,GHA,M,,,,1649,8,40,JUN26,1999,
12601322,"Aikins, Dwamena Akenten",GHA,M,,,,1782,0,20,JUN26,1998,i
12602531,Akpa Prince,GHA,M,,,,1843,16,20,JUN26,2000,
12602914,Amankona-Diawuo Felix Kwabena,GHA,M,,,,1644,0,20,JUN26,1984,i
12601179,"Ameku, David Selasi",GHA,M,,,,1825,0,20,JUN26,1993,
12600326,"Ameku, Philip Elikem",GHA,M,,FI,,1881,17,20,JUN26,1989,
12602540,Amenorpe Vitus,GHA,M,,,,1743,0,20,JUN26,1999,i
12600377,"Amexo, Ambrose",GHA,M,,,,1851,0,20,JUN26,1977,i
12602256,Amoako Philip Selikem Yao,GHA,M,,,,2026,0,40,JUN26,2010,
12602477,Angel-Jordan Quansah,GHA,F,,,,1467,0,20,JUN26,2007,wi
12600580,"Anhwere, Bernard",GHA,M,CM,,,1906,11,20,JUN26,1995,
12604380,Annor Julian Jaques,GHA,M,,,,1669,5,40,JUN26,1998,
12600148,"Anquandah, Francis Eric",GHA,M,IM,,,1903,11,20,JUN26,1965,
12601675,Appau Abena Tiwaa,GHA,F,,,,1471,0,20,JUN26,1999,wi
12600156,"Arko-Dadzie, George Kweku",GHA,M,,IA,,1621,0,20,JUN26,1964,
12600474,"Ashley, Christiana Naa Merley",GHA,F,,"AO,IA",,1637,0,20,JUN26,1984,wi
12601837,Attade Josias Prosper,GHA,M,,,,1744,0,20,JUN26,1997,i
12600318,"Attah, Elikem Kofi",GHA,M,CM,,,1755,0,20,JUN26,1992,i
12600423,"Ayiku, Angela Naa Amerley",GHA,F,WFM,WFM,,1639,0,20,JUN26,1987,wi
