ID Number,Name,Fed,Sex,Title,WTit,OTit,Rating,Gms,K,RatingMonth,B-day,Flag
8101043,"Ababneh, Ghayth",JOR,M,,,,2078,0,20,SEP25,1982,i
8124647,Abdallah Abu Saa,JOR,M,,,,1683,0,20,SEP25,1992,i
8127417,Abdallah Abuhijleh,JOR,M,,,,1567,4,40,SEP25,2007,
8117160,Abdallah Elsafarti,JOR,M,,,,1708,0,20,SEP25,2002,i
8118337,Abdallah haymour,JOR,M,,,,1674,0,20,SEP25,1999,
8119864,Abdallah Khwaira,JOR,M,,,,1470,0,40,SEP25,2015,
8103526,"Abdallah, A-Shbol",JOR,M,,,,1875,9,20,SEP25,1972,
8110816,"Abdallah, Al-Khanji",JOR,M,,,,1602,0,20,SEP25,1995,i
8131554,"Abdallah, Alhaj Mohammad",JOR,M,,,,1493,0,20,SEP25,1994,
8110824,"Abdallah, Alrshaidat",JOR,M,,,,1489,0,40,SEP25,2008,i
8111928,"Abdallah, Barjous",JOR,M,,,,1588,0,20,SEP25,1997,i
8126348,ABDEL ALSHARAFAT,JOR,M,,,,1624,6,20,SEP25,1990,
8102422,Abdel Munem Abu Hazeem,JOR,M,,,,1920,11,20,SEP25,1985,
8108790,Abdel Rahman Alhadidi,JOR,M,,,,1719,7,40,SEP25,2007,
8119430,Abdel Rahman alkayyali,JOR,M,,,,1799,0,20,SEP25,2002,i
8119210,Abdel Rahman Khader,JOR,M,,,,1692,0,20,SEP25,2000,
8108803,Abdel Rahman Khanji,JOR,M,,,,ACM,1627,0,SEP25,2003,i
8112886,Abdel Rahman Sadeh,JOR,M,,"NI,NA",,1664,0,20,SEP25,1996,
8128820,ABDEL RAHMAN TAHAT,JOR,M,,,,1756,0,20,SEP25,2005,i
8116350,Abdel Razzaq Kasrawi,JOR,M,,,,1544,3,20,SEP25,1999,
8112436,Abdelkareem Saleh,JOR,M,,,,1762,0,20,SEP25,2003,i
8104816,"Abdelrahim, Abdelrahim",JOR,M,,,,1641,0,20,SEP25,2002,i
8113211,"Abdelrahman, Al Amer",JOR,M,,,,1797,8,20,SEP25,1998,
8126950,Abdulla AlAnsari,JOR,M,,,,ACM,1549,0,SEP25,1994,i
8106550,"Abdulla, Mohammad",JOR,M,,,,1889,0,20,SEP25,1975,i
8118760,Abdullah Arafat,JOR,M,,,,1639,7,20,SEP25,2006,
8130426,"Abdullah, Al-Jazzazi",JOR,M,,,,1402,4,40,SEP25,2010,
8113475,"Abdullah, Alnahleh",JOR,M,,,,1607,0,20,SEP25,2005,i
8103348,"Abdullah, Aya",JOR,F,,,,1747,0,20,SEP25,1997,wi
8109109,"Abdullah, Bany Yaseen",JOR,M,,,,1713,0,40,SEP25,2007,i
8128812,Abedalaziz Ghunmat,JOR,M,,,,1465,0,20,SEP25,1990,i
8117403,Abedalhai Dana,JOR,M,,,,1748,0,20,SEP25,1996,i
8101159,"Abo-Hazeem, Mohanned",JOR,M,,,,1948,0,20,SEP25,1993,
8100160,"Aboudi, Marwan",JOR,M,CM,NA,,2186,0,20,SEP25,1964,i
8133840,"Abu Atileh, Ayham",JOR,M,,,,1547,5,40,SEP25,2009,
8101183,"Abu-Hazeem, M.",JOR,M,,,,1925,9,20,SEP25,1983,
8102023,"Abu-Hazeem, Saif",JOR,M,,,,2012,0,20,SEP25,1991,
8104328,"Abulaban, Amr",JOR,M,,,,1979,0,20,SEP25,1996,i
8133875,"Abusammour, Baker",JOR,M,,,,1477,6,40,SEP25,1980,
8114544,Ahmad Abu Kidair,JOR,M,,,,1615,0,20,SEP25,1982,i
8109290,Ahmad Abu Nawa,JOR,M,,,,1627,0,20,SEP25,1997,i
8122164,Ahmad Abushpap,JOR,M,,,,1476,0,40,SEP25,2009,i
8106703,Ahmad Aldalalah,JOR,M,,,,1555,6,20,SEP25,1997,
8129509,Ahmad Almashaqbeh,JOR,M,,,,1602,0,20,SEP25,1970,i
8112851,Ahmad Alshawawreh,JOR,M,,,,1650,5,20,SEP25,1979,
8129452,Ahmad Saleh,JOR,M,,,,1859,0,20,SEP25,1987,i
8127450,AHMAD SHTAIWI,JOR,M,,,,1603,6,40,SEP25,2015,
8114951,Ahmad Yousef Jaradat,JOR,M,,,,1728,0,20,SEP25,1994,i
8103178,"Ahmad, Al Khatib",JOR,M,GM,,,2194,7,20,SEP25,1995,
8107793,"Ahmad, Al-Zayadneh",JOR,M,,,,1728,0,20,SEP25,1989,i
8129789,"Ahmad, Algharibeh",JOR,M,,,,1520,0,40,SEP25,2007,i
8101779,"Ahmad, Saadah",JOR,M,,"FT,SI,FA",,AFM,1768,0,SEP25,1988,
8111510,Ahmed Odeh,JOR,M,,,,1564,0,20,SEP25,1993,i
