ID Number,Name,Fed,Sex,Title,WTit,OTit,Rating,Gms,K,RatingMonth,B-day,Flag
11642904,"Abola, Arina",LAT,F,,,,1412,0,40,SEP25,2009,w
11603232,"Abolina, Arija-Solveiga",LAT,F,,,,1783,0,20,SEP25,1936,wi
11630507,"Abolins, Janis",LAT,M,,,,1864,0,20,SEP25,1986,i
11647566,"Abolins, Markuss",LAT,M,,,,1485,5,40,SEP25,2009,
11614862,"Abolins, Sergejs",LAT,M,,,,1794,0,20,SEP25,1976,i
11653280,"Abolins-Abols, Donalds",LAT,M,,,,1519,6,40,SEP25,1964,
11633131,"Abols, Ernests",LAT,M,,,,1590,0,40,SEP25,2013,
11615311,"Aboltina,Valerija Nikola",LAT,F,,,,1441,0,20,SEP25,2005,wi
11610131,"Abula, Imanta",LAT,F,,,,1508,7,20,SEP25,1957,w
11622075,"Adamovics, Aleksejs",LAT,M,,,,2202,7,40,SEP25,2007,
11644630,"Adsons, Pavels",LAT,M,,,,1608,0,40,SEP25,1986,i
11616423,"Afanasjevs, Aleksandrs",LAT,M,,,,1791,8,20,SEP25,1954,
11645172,"Afanasjevs, Zahars",LAT,M,,,,1733,0,40,SEP25,2014,
11602104,"Agafonov, Yuri Dr",LAT,M,,,,2083,18,20,SEP25,1956,
11622830,"Aghalarov, Ruslan",LAT,M,,,,1883,0,20,SEP25,1991,i
11608226,"Agis, Agris",LAT,M,,,,1738,0,20,SEP25,1965,
11610530,"Airapetjan, Vladimir",LAT,M,,,,1734,0,20,SEP25,1953,i
11636440,"Aispurs, Gabriels",LAT,M,,,,1720,0,40,SEP25,2013,
11610743,"Aizsilnieks, Andris",LAT,M,,,,1702,0,20,SEP25,1937,i
11606835,"Aizstrauts, Arturs",LAT,M,,,,1858,0,20,SEP25,2002,
11625619,"Aizstrauts, Ernests",LAT,M,,,,1446,0,40,SEP25,2011,i
11638508,"Akmentins, Peteris",LAT,M,,,,1669,0,40,SEP25,1996,i
11609095,"Alainis, Artis",LAT,M,,,,1986,0,20,SEP25,2002,
11617608,"Aleidzans, Vadims",LAT,M,,,,1859,0,40,SEP25,2009,
11609001,"Alekseev,Ilia",LAT,M,,,,1734,0,20,SEP25,2000,i
11629770,"Aleksejevs, Boriss",LAT,M,,,,1713,0,20,SEP25,1979,i
11620480,"Aleksejevs, Daniils",LAT,M,,,,1678,0,40,SEP25,2010,
11611618,"Aleksejevs, Deniels",LAT,M,,,,1614,0,20,SEP25,1998,i
11608234,"Aleksejevs, Nikolajs",LAT,M,,,,1790,0,20,SEP25,1936,i
11625554,"Aleksejevs, Olegs",LAT,M,,,,1501,0,20,SEP25,1975,
11619619,"Alhimovics, Jelisejs",LAT,M,,,,1543,0,20,SEP25,2005,i
11631813,"Aliev, Arif",LAT,M,,,,1654,0,40,SEP25,2012,
11631805,"Aliev, Iskander",LAT,M,,,,1632,0,40,SEP25,2013,
11642955,"Aliks, Germans",LAT,M,,,,1494,0,40,SEP25,2006,i
11602392,"Alipovs, Anatolijs",LAT,M,,,,1876,0,20,SEP25,1960,
11640235,"Alksne, Guna",LAT,F,,,,1552,0,40,SEP25,1973,w
11640049,"Almanis, Gabriels",LAT,M,,,,1479,0,40,SEP25,2008,
11653256,"Ambainis, Andris",LAT,M,,,,1636,0,40,SEP25,1975,
11652381,"Ambainis, Krisjanis",LAT,M,,,,1559,0,40,SEP25,2013,
11642769,"Ambarcumjans, Grairs",LAT,M,,,,1589,0,40,SEP25,2007,
11602260,"Amerika, Katrina",LAT,F,WIM,WIM,,2128,0,20,SEP25,1991,w
11610425,"Aminovs, Maksims",LAT,M,,,,1851,0,20,SEP25,2005,i
11624035,"Aminovs, Marats",LAT,M,,,,1591,0,20,SEP25,1972,i
11620242,"Amsils, Valters",LAT,M,,,,1439,0,40,SEP25,2009,i
11642262,"Ananjeva, Diana",LAT,F,,,,1433,0,40,SEP25,2008,w
11649240,"Ananjevs, Savelijs",LAT,M,,,,1417,0,40,SEP25,2016,
11602899,"Andaburskis, Aleksejs",LAT,M,,FT,,2082,0,20,SEP25,1952,i
11612762,"Andersone, Arta",LAT,F,,,,1548,0,20,SEP25,2003,wi
11635991,"Andrejeva, Sofija",LAT,F,,,,1509,0,40,SEP25,2013,w
11602708,"Andrejevs, Arvids",LAT,M,CM,,,2139,0,20,SEP25,1987,i
11602201,"Andrejevs, Jurijs",LAT,M,,,,2021,0,20,SEP25,1986,i
11623853,"Andrusevics, Jegors",LAT,M,,,,2092,0,40,SEP25,2012,
11617632,"Andryushin, Maxim",LAT,M,,,,AFM,1835,0,SEP25,1981,
11619341,"Andzans, Elvijs",LAT,M,,,,1559,0,20,SEP25,1991,i
11604611,"Andzans, Maris",LAT,M,,,,1628,0,20,SEP25,1964,
11637382,"Anenkovs, Deniss",LAT,M,,,,1413,0,40,SEP25,2007,i
11635487,"Angens,Dags",LAT,M,,,,1495,0,40,SEP25,2007,
11632747,"Anins, Peteris",LAT,M,,,,1511,0,20,SEP25,2003,i
11621753,"Anokhin, Yaromir",LAT,M,,,,1561,0,40,SEP25,2008,
11641282,"Anskins, Raivis",LAT,M,,,,1440,0,40,SEP25,2008,i
11649577,"Ansons, Valters",LAT,M,,,,1591,0,40,SEP25,2007,i
11612525,"Anspoks, Linards",LAT,M,,,,1433,0,20,SEP25,2004,i
11631422,"Antainis, Janis",LAT,M,,,,1587,0,20,SEP25,1955,i
11624248,"Antjufejevs, Vsevolods",LAT,M,,,,1721,0,20,SEP25,1972,
11601469,"Antoms, Guntars",LAT,M,IM,,,2150,0,20,SEP25,1960,
11646195,"Antonevics, Normunds",LAT,M,,,,1416,0,40,SEP25,2012,i
11643471,"Antoniskis, Markuss",LAT,M,,,,1484,0,40,SEP25,2009,
11608242,"Antonivs, Dmitrijs",LAT,M,,,,1728,0,20,SEP25,1975,i
11604484,"Antonivs, Vladislavs",LAT,M,,,,1890,0,20,SEP25,2002,i
11640634,"Antonovics, Maksims",LAT,M,,,,1489,0,40,SEP25,2005,i
11620765,"Antonuks, Anatolijs",LAT,M,,,,1638,0,20,SEP25,1951,i
11611669,"Apenitis, Markuss",LAT,M,,,,1702,0,40,SEP25,2007,i
11616377,"Apenitis,Eriks",LAT,M,,,,1406,0,40,SEP25,2008,i
11634448,"Apine, Emilija",LAT,F,,,,1681,7,20,SEP25,2006,w
11602139,"Apinis, Guntis",LAT,M,,,,1804,0,20,SEP25,1966,i
11620447,"Apinis, Kalvis",LAT,M,,,,1478,0,40,SEP25,2010,
11633000,"Apinis, Madars Andrejs",LAT,M,,,,1401,0,40,SEP25,2012,
11631430,"Aprups, Juris",LAT,M,,,,1527,0,20,SEP25,1963,i
11613513,"Aprups,Rinalds",LAT,M,,,,1559,0,20,SEP25,2006,i
11635347,"Apsans, Matiss",LAT,M,,,,1623,0,20,SEP25,1996,i
11618221,"Arajs, Ilvars",LAT,M,,,,1538,0,20,SEP25,2005,i
11650818,"Arajs, Ronalds",LAT,M,,,,1665,0,40,SEP25,1995,
11633654,"Araslanovs, Timofejs",LAT,M,,,,1495,0,40,SEP25,2008,i
11612568,"Arcimovica, Solvita",LAT,F,,,,1569,0,20,SEP25,1969,wi
11610140,"Artemjevs, Viktors",LAT,M,,,,1606,0,20,SEP25,1959,
11615028,"Arums, Juris",LAT,M,,,,1593,0,20,SEP25,1985,i
11634294,"Arzanovskis, Martins Emils",LAT,M,,,,1533,0,40,SEP25,2002,i
11630213,"Astapenko, Vladislav",LAT,M,,,,1709,0,40,SEP25,2006,i
11623403,"Ate, Andris",LAT,M,,,,1605,0,20,SEP25,1987,i
11602651,"Atrohovs, Viktors",LAT,M,,,,2081,0,20,SEP25,1989,i
11619120,"Atslega, Kristians",LAT,M,,,,1447,0,40,SEP25,2006,i
11609141,"Atte, Rebeka",LAT,F,,,,1690,0,20,SEP25,2000,wi
11619910,"Atvars, Raivis",LAT,M,,,,1413,0,20,SEP25,1982,i
11618698,"Atvars, Rihards",LAT,M,,,,1441,0,40,SEP25,2010,i
11623330,"Augstkalns, Martins",LAT,M,,,,1533,0,40,SEP25,2007,i
11608099,"Auzina, Ruta",LAT,F,,,,1795,0,20,SEP25,1941,wi
11603089,"Auzins, Artis",LAT,M,,,,1947,0,20,SEP25,1974,
11622733,"Auzins, Kristers",LAT,M,,,,1601,0,40,SEP25,2010,
11614919,"Auzins,Alnis",LAT,M,,,,1780,0,20,SEP25,1959,
11638354,"Avads, Aimans",LAT,M,,,,1425,0,40,SEP25,2011,
11608250,"Avenina, Maija",LAT,F,,,,1850,0,20,SEP25,1970,w
11604280,"Avotins, Arturs",LAT,M,,,,1759,0,20,SEP25,2000,i
11606266,"Avsitidijskis, Leonids",LAT,M,,,,1735,0,20,SEP25,1942,i
11611200,"Azanda, Emils",LAT,M,,,,1600,0,20,SEP25,1999,i
11623918,"Azarjancs, Timurs",LAT,M,,,,1404,0,40,SEP25,2009,i
11637625,"Azarkevics, Aleksejs",LAT,M,,,,1771,0,20,SEP25,1989,
11614730,"Azarovs, Timurs",LAT,M,,,,1533,0,20,SEP25,2006,i
11629932,"Azevs, Aleksandrs",LAT,M,,,,1579,0,40,SEP25,2008,
11635886,"Babics, Leons",LAT,M,,,,1494,0,40,SEP25,2015,
11622393,"Babris, Ivars",LAT,M,,,,1898,0,20,SEP25,1963,i
11618647,"Babris, Rihards",LAT,M,,,,1500,0,40,SEP25,2010,i
11609494,"Backovskis, Emils",LAT,M,,,,1495,0,20,SEP25,2004,i
11609265,"Bagata,Elina",LAT,F,,,,1533,0,20,SEP25,2004,wi
11606665,"Bagatais, Janis",LAT,M,,,,1947,0,20,SEP25,1989,
11608811,"Bagirov, Eldar",LAT,M,,,,1641,0,20,SEP25,1964,
11616075,"Baidalovs,Vladislavs",LAT,M,,,,1550,0,20,SEP25,2004,i
11639997,"Bajars, Gunars",LAT,M,,,,1550,0,20,SEP25,1957,
11646373,"Bakass, Artjoms",LAT,M,,,,1538,3,40,SEP25,2016,
11646950,"Baklanovs, Kirils",LAT,M,,,,1433,0,40,SEP25,2014,
11644761,"Bakmasters, Markus Nikolajs",LAT,M,,,,1571,0,40,SEP25,2008,
11608749,"Balasovs, Viktors",LAT,M,,,,1892,0,20,SEP25,1952,
11617098,"Balcuns, Kristaps",LAT,M,,,,1507,0,40,SEP25,2009,i
11623080,"Balcuns, Roberts",LAT,M,,,,1409,0,40,SEP25,2009,i
11635436,Balodis Kristofers,LAT,M,,,,1609,0,40,SEP25,2005,i
11645326,"Balodis, Martins",LAT,M,,,,1515,0,40,SEP25,2004,
11619295,"Balodis, Valters",LAT,M,,,,1524,0,20,SEP25,1999,i
11637765,"Balogh, Tamas",LAT,M,,,,1573,0,20,SEP25,1984,i
11633697,"Balta, Hugo Kristians",LAT,M,,,,1439,0,40,SEP25,2007,i
11617101,"Bandenieks, Arnis",LAT,M,,,,1511,0,40,SEP25,2007,i
11637099,"Banga, Anna",LAT,M,,,,1423,0,20,SEP25,1989,i
11619783,"Bangevics, Indulis",LAT,M,,,,1605,0,20,SEP25,1951,i
11636025,"Bankovskis, Kaspars",LAT,M,,,,1587,0,40,SEP25,1985,
11638273,"Baranovs, Deniss",LAT,M,,,,1499,0,40,SEP25,2015,
11648619,"Baranovs, Nikita",LAT,M,,,,1562,0,40,SEP25,2014,
11635258,"Baranovskis, Reinis",LAT,M,,,,1626,0,20,SEP25,1995,i
11635940,"Barasovs, Dimitrijs",LAT,M,,,,1420,0,40,SEP25,2010,
11604620,"Barinovs, Vitalijs",LAT,M,,,,1770,0,20,SEP25,1941,
11635100,"Barkus, Alekss",LAT,M,,,,1467,0,40,SEP25,2007,i
11635762,"Barloti, Pauls",LAT,M,,,,1553,0,40,SEP25,2011,
11610670,"Bartasevics, Tomass",LAT,M,,,,1565,0,20,SEP25,2003,i
11607009,"Bartoss, Marjans",LAT,M,,,,1559,0,20,SEP25,1987,i
11614706,"Barutina, Luiza",LAT,F,,,,1566,0,20,SEP25,1999,wi
11644710,"Barviks, Andris",LAT,M,,,,1575,0,40,SEP25,1998,i
11647221,"Barzdina, Romija",LAT,F,,,,1411,0,40,SEP25,2012,w
11616555,"Baskins,Viktors",LAT,M,,,,1573,0,20,SEP25,1935,i
11604832,"Bass, Harijs",LAT,M,,,,1762,0,20,SEP25,2000,i
11600888,"Batakovs, Olegs",LAT,M,,,,1810,0,20,SEP25,1941,i
11603593,"Batashevs, Arsens",LAT,M,,,,2178,12,20,SEP25,2001,
11621036,"Batirevs, Pavels",LAT,M,,,,1473,0,40,SEP25,2007,
11608897,"Batirevs,Maksims",LAT,M,,,,1612,0,20,SEP25,2002,i
11602147,"Baumanis, Kristaps",LAT,M,,,,1768,0,20,SEP25,1990,i
11644605,"Baumanis, Mairis",LAT,M,,,,1461,0,40,SEP25,1991,i
11618833,"Baumanis, Valters",LAT,M,,,,1957,0,20,SEP25,0,i
11649500,Baumanis. Jurgis,LAT,M,,,,1599,0,40,SEP25,1990,
11603240,"Bautris, Aivars",LAT,M,,,,1612,0,20,SEP25,1964,
11637579,"Bazanovs, Igors",LAT,M,,,,1477,0,20,SEP25,1982,i
11635363,"Behmanis Bergmanis, Arturs",LAT,M,,,,1486,0,20,SEP25,2000,i
11639644,"Beiers, Valters",LAT,M,,,,1578,0,40,SEP25,2015,
11608510,"Beitinsh, Gabriels",LAT,M,,,,1596,0,20,SEP25,2002,i
11606029,"Bekasovs, Rihards",LAT,M,,,,2086,0,20,SEP25,2002,
11614927,"Bekis,Elvis",LAT,M,,,,1794,0,20,SEP25,1991,
11603836,"Beks, Edmunds",LAT,M,,,,2061,0,20,SEP25,1997,i
11613343,"Belakova, Laura",LAT,F,,,,1433,0,20,SEP25,2001,w
11618876,"Belavskis, Gundars",LAT,M,,,,1602,0,20,SEP25,1971,i
11650249,"Belkina, Misela",LAT,F,,,,1416,0,40,SEP25,1997,wi
11614331,"Benders, Ervins",LAT,M,,,,1815,7,20,SEP25,1950,
11632674,"Beniosev, Daniel",LAT,M,CM,,,2055,16,40,SEP25,2013,
11644303,"Beniosev, David",LAT,M,,,,1469,0,40,SEP25,2018,
11615109,"Benkis,Maris",LAT,M,,,,1845,0,20,SEP25,1989,i
11627859,"Berga, Jelena",LAT,F,,,,1461,0,40,SEP25,2008,w
11637102,"Bergmanis, Davids Kaspars",LAT,M,,,,1652,0,20,SEP25,1997,i
11641223,Bergmanis. Emils,LAT,M,,,,1519,0,40,SEP25,2010,i
11608706,"Bergs, Martins",LAT,M,,,,1474,0,20,SEP25,2004,i
11603097,"Berkis, Elmars",LAT,M,,,,1747,0,20,SEP25,1956,
