ID Number,Name,Fed,Sex,Title,WTit,OTit,Rating,Gms,K,RatingMonth,B-day,Flag
9213180,"Abaid, Emadeddin A.",LBA,M,,NA,,1845,0,40,SEP25,1981,i
9204644,"Abdalati, Hafiez",LBA,M,,,,1942,0,40,SEP25,1962,i
9210172,"Abdalaziz, Husain",LBA,M,,,,1643,0,40,SEP25,2002,i
9211276,"Abdalhadi, Anas Fathi",LBA,M,,,,1777,0,40,SEP25,2004,i
9211292,"Abdalhadi, Rafeh F.",LBA,M,,,,1707,0,40,SEP25,2003,i
9213872,"Abdalhadi, Saleh Abdaljalil",LBA,M,,,,1734,0,40,SEP25,2005,i
9209301,"Abdalhamed, Albrani",LBA,M,,,,1909,0,40,SEP25,1980,i
9208631,"Abdalkarem, Alhassan A. A.",LBA,M,,,,1854,0,40,SEP25,1978,i
9211802,"Abdalkarem,Hussin A.",LBA,M,,,,1815,0,40,SEP25,1978,i
9217517,"Abdalla, Elbashir Fathi",LBA,M,,,,1719,0,40,SEP25,2003,i
9208909,"Abdalla, Saeed A.E.",LBA,M,,,,1726,0,20,SEP25,1967,i
9217525,"Abdalla, Taha Fathi",LBA,M,,,,1747,0,40,SEP25,2008,
9202838,"Abdallah, Abdelrhman",LBA,M,,NA,,1932,0,20,SEP25,1976,i
9200312,"Abdallah, Khaled Elnami",LBA,M,,,,1818,0,40,SEP25,1958,i
9208879,"Abdalmajeed, Saad A.",LBA,M,,,,1779,0,40,SEP25,1974,i
9211578,"Abdalnabi, Nabeal",LBA,M,,,,1831,0,40,SEP25,1980,i
9208917,"Abdalrahim, Mohamed A. M.",LBA,M,,,,1802,0,20,SEP25,1975,i
9207910,"Abdalrahman, Hafid N.",LBA,M,,,,1816,0,40,SEP25,1982,i
9208682,"Abdalsalam, Saad Ali",LBA,M,,,,1849,0,40,SEP25,1998,i
9200746,"Abdulgader, Amira",LBA,F,,NA,,1690,0,40,SEP25,1995,wi
9223550,"Abdullah, Fouzi Ahmed",LBA,M,,,,1808,8,40,SEP25,1990,
9206531,"Abdullah, Saied M.",LBA,M,,,,1912,0,40,SEP25,1969,i
9225676,"Abdulmawlay Alsayib, Abdulmawla M",LBA,M,,,,1586,0,40,SEP25,1995,
9210776,"Abdulrahman, Emhemed",LBA,M,,,,1776,0,40,SEP25,2002,i
9220240,"Abdulrahman, Mohammed Midhat",LBA,M,,,,2029,8,40,SEP25,2008,
9207465,"Abdulrazik, Salah F.",LBA,M,,,,2075,0,20,SEP25,1980,i
