ID Number,Name,Fed,Sex,Title,WTit,OTit,Rating,Gms,K,RatingMonth,B-day,Flag
12000469,"Blum, Fabio",LIE,M,,,,1534,0,40,JUL26,2009,i
12000027,"Frick, Renato",LIE,M,,,,1944,0,20,JUL26,1952,i
12000078,"Guller, Andras",LIE,M,CM,,,2017,0,20,JUL26,1948,
12000213,"Heron, Andrew",LIE,M,CM,NA,,1985,0,20,JUL26,2007,
12000221,"Heron, Steve",LIE,M,,,,1674,0,40,JUL26,2009,i
200450,"Iclicki, Willy",LIE,M,FM,,,1824,0,20,JUL26,1955,
4669533,"Krieger, Markus",LIE,M,,,,2178,0,20,JUL26,1991,i
12000248,"Marxer, Constantin",LIE,M,,,,1465,0,40,JUL26,2010,i
12000230,"Raffaele, Luca",LIE,M,,,,1538,0,40,JUL26,2009,i
1343424,"Sele, Timea",LIE,F,WCM,WCM,,1641,0,20,JUL26,2005,wi
12000353,"Steck, Justine Xinyuan",LIE,F,,,,1438,0,40,JUL26,2014,w
12000272,"Trautmann, Moses",LIE,M,,,,1540,0,40,JUL26,2011,
12000507,"Vogt, Simon",LIE,M,,,,1583,0,40,JUL26,2010,
