ID Number,Name,Fed,Sex,Title,WTit,OTit,Rating,Gms,K,RatingMonth,B-day,Flag
15400891,CHANG TIN IENG,MAC,F,,,,1486,0,40,SEP25,2007,w
15400344,"Ieong, Seak Hin",MAC,M,CM,NI,,1854,0,20,SEP25,2000,i
15400352,"Ip, Seng Tou",MAC,M,,,,1765,0,20,SEP25,2000,i
15400611,"Ip, Weng Tou",MAC,M,,,,1589,0,20,SEP25,2006,i
15400492,Kou Seong Kei,MAC,M,,,,1613,0,20,SEP25,2002,i
15400735,"Lei, Ka Chon",MAC,M,,,,1725,0,20,SEP25,1999,i
15400883,Li Yi Ming,MAC,M,,,,1539,0,40,SEP25,2009,
15400484,"Li, Chin Chon",MAC,M,,,,1687,0,20,SEP25,2004,i
15400310,"Li, Hui",MAC,M,CM,,,2002,5,20,SEP25,1993,
15400336,"Ng, Chi Tou",MAC,M,,,,1682,0,20,SEP25,1999,i
15400719,Wang Xin,MAC,M,,,,1617,7,40,SEP25,2007,
15400379,"Wong, Kit",MAC,F,,,,1740,0,20,SEP25,2000,wi
15400360,"Xu, Haoen",MAC,M,,,,1708,0,20,SEP25,2001,i
15400786,"Zhou, Cheng Fei",MAC,F,WCM,WCM,,1615,0,40,SEP25,2008,wi
