ID Number,Name,Fed,Sex,Title,WTit,OTit,Rating,Gms,K,RatingMonth,B-day,Flag
5716365,"A Hamid, Harman",MAS,M,,,,1552,0,20,AUG25,1970,
5716373,"A Rajah, Abdul Shukor",MAS,M,,,,1815,0,20,AUG25,0,
5706068,"A. Nashir, Mohd Khairul Nazrin",MAS,M,,,,1927,0,40,AUG25,0,i
5700230,"A.B, Muhd Yusop",MAS,M,,,,1765,0,20,AUG25,1983,i
35809884,"A.Sultan Abdul Kader, Mohd Ameenudeen",MAS,M,,,,1503,0,40,AUG25,1972,i
35813016,"Ab Halim, Ayden Mikail",MAS,M,,,,1472,2,40,AUG25,2014,
5737060,"Ab Malek, Nashaluden",MAS,M,,,,1659,0,40,AUG25,1994,i
5731844,"Ab Rahman, Muhd Ikmal Faiz",MAS,M,,,,1598,4,20,AUG25,1996,
5777216,"Abang Mohd Reduan, Nur Athirah Izzati",MAS,F,,,,1548,0,40,AUG25,2003,w
35812451,"Abbas, Ahmat Rubel",MAS,M,,,,1667,0,40,AUG25,1962,
5730783,"Abbil, Almando",MAS,M,,,,1719,0,40,AUG25,1978,i
5771480,"Abd Aziz, A Dira A Ddawiyah",MAS,F,,,,AFM,1744,7,AUG25,2006,w
5771498,"Abd Aziz, A Qil A Lauddin",MAS,M,,,,AIM,1920,15,AUG25,2011,
35879300,"Abd Aziz, Amira Alyshah",MAS,F,,,,1467,0,40,AUG25,2012,w
5771471,"Abd Aziz, ANiq ARiffin",MAS,M,,NA,,AIM,1840,6,AUG25,2005,
5709920,"Abd Fatah, Muhd Anuwar",MAS,M,,,,1720,0,40,AUG25,1990,i
35861614,"Abd Fathul Hakim, Fayyadh Ifwat",MAS,M,,,,1581,0,40,AUG25,2013,
5736609,"Abd Ghafar, Nabilah",MAS,F,,,,1456,0,40,AUG25,1995,wi
35857684,"Abd Hadi, Haris Danial",MAS,M,,,,1667,0,40,AUG25,2009,
35874520,"Abd Halim, Mohd Lothfi",MAS,M,,,,1525,0,40,AUG25,1986,
5707021,Abd Hamid Bin Abd Majid,MAS,M,,,,1759,0,40,AUG25,1949,i
5711541,"Abd Jalil, Fatih Nor Sahariah",MAS,F,,,,1596,0,40,AUG25,0,wi
35862092,"Abd Karim, Mohd Fazli",MAS,M,,,,1545,0,40,AUG25,1983,
5762782,"Abd Kornin, Mohd Shahreszan",MAS,M,,,,1628,0,40,AUG25,1980,
5705215,"Abd Majid, Azrul Aminur Rashid",MAS,M,,,,1621,0,40,AUG25,0,i
35816953,"Abd Manaf, Bambang Hariyanto",MAS,M,,,,1539,0,40,AUG25,1987,i
5741246,"Abd Manan, Khayra Imanina",MAS,F,,,,1543,0,40,AUG25,2007,wi
5728398,"Abd Rahim Yeo, Ahmad Justin",MAS,M,,,,1802,0,20,AUG25,1982,i
35819308,"Abd Rahim, Muhd Arif",MAS,M,,,,AFM,1522,0,AUG25,2001,i
5705223,"Abd Rahman, Mohd Razif",MAS,M,,,,1771,0,40,AUG25,0,i
