ID Number,Name,Fed,Sex,Title,WTit,OTit,Rating,Gms,K,RatingMonth,B-day,Flag
16506723,"Abdovic, Daris",MNE,M,,,,1502,0,40,SEP25,2010,i
918776,"Abramovic, Dragoljub",MNE,M,,,,2054,0,20,SEP25,1958,i
16506693,"Acimic, Anja",MNE,F,,,,1443,0,40,SEP25,2008,wi
939811,"Adrovic, Admir",MNE,M,,,,2031,0,20,SEP25,1989,
16503465,"Adrovic, Asmir",MNE,M,,,,1908,0,20,SEP25,1984,
16508572,"Adzic, Jovan",MNE,M,,,,1689,0,40,SEP25,2009,i
909556,"Agovic, Sadudin",MNE,M,,,,1965,0,20,SEP25,1960,i
16501098,"Ajanovic, Berina",MNE,F,,,,1630,0,20,SEP25,1999,wi
16505735,"Ajdarpasic, Cazim",MNE,M,,,,1983,0,20,SEP25,1954,i
16505760,"Ajdarpasic, Sefket",MNE,M,,,,1852,0,20,SEP25,1980,i
16504828,"Ajderpasic, Irfan",MNE,M,,,,1876,0,20,SEP25,2001,i
921513,"Akovic, Lazar",MNE,M,,,,2190,0,20,SEP25,1970,i
16504925,"Aleksic, Filip",MNE,M,,,,1822,0,20,SEP25,2002,i
16500024,"Aleksic, Nenad",MNE,M,,,,1917,0,20,SEP25,1968,i
919659,"Aleksic, Nenad C",MNE,M,FM,,,2145,0,20,SEP25,1969,i
936707,"Alibasic, Mirto",MNE,M,,,,2023,0,20,SEP25,1967,i
16501632,"Alivodic, Dario",MNE,M,CM,,,2148,0,20,SEP25,2002,i
16502094,"Andjelic, Djordje",MNE,M,,,,2024,0,20,SEP25,2005,
16502086,"Andjelic, Nikolina",MNE,F,,,,1715,0,20,SEP25,2002,w
921424,"Andjic, Milonja",MNE,M,,,,1956,0,20,SEP25,1959,
16502493,"Andjic, Vladan",MNE,M,,,,2063,0,20,SEP25,1984,
16509730,"Andrijasevic, Dorotea",MNE,F,,,,1450,0,40,SEP25,2013,wi
4135229,"Anisimov, Pavel",MNE,M,GM,,,2485,0,10,SEP25,1986,i
16508343,"Arucevic, Agim",MNE,M,,,,1931,0,20,SEP25,1958,i
16501314,"Asanin, Radomir",MNE,M,,,,2038,0,20,SEP25,1979,i
16505255,"Asanin, Vidoje",MNE,M,,,,1836,0,20,SEP25,1963,i
903914,"Avedisovic, Sergej",MNE,M,,,,1902,0,20,SEP25,1976,i
16500245,"Bacic, Kristina",MNE,F,,,,1889,0,20,SEP25,1995,wi
918636,"Bajkovic, Nikola",MNE,M,,,,2101,0,20,SEP25,1948,i
909580,"Bakoc, Budimir",MNE,M,,,,2016,0,20,SEP25,1953,i
16505077,"Bakovic, Nikola",MNE,M,,,,1811,0,20,SEP25,1987,i
940925,"Balic, Adnan",MNE,M,,,,2123,0,20,SEP25,1985,
16508327,"Baranin, Gojko",MNE,M,,,,1829,0,20,SEP25,1963,i
920800,"Batricevic, Jovo",MNE,M,FM,,,2105,0,20,SEP25,1966,i
913880,"Batricevic, Sasa",MNE,M,FM,,,2155,0,20,SEP25,1972,i
907928,"Benderac, Srdjan",MNE,M,FM,,,2234,0,20,SEP25,1973,i
16502620,"Bilafer, Bogdan",MNE,M,,,,1715,0,20,SEP25,1997,i
