ID Number,Name,Fed,Sex,Title,WTit,OTit,Rating,Gms,K,RatingMonth,B-day,Flag
14800063,"Abrantes, Persson",MOZ,M,CM,,,2005,0,20,MAR26,1990,i
14800446,Adriano Tirano Walate,MOZ,M,,,,1796,0,20,MAR26,1998,
14803291,Alberto Ananias Pambo,MOZ,M,,,,1889,0,20,MAR26,2005,
14800047,"Alice, Mateus Felizardo Viageiro",MOZ,M,FM,,,2189,0,20,MAR26,1980,i
14806266,"Amirali, Munir Navazali",MOZ,M,,,,1674,0,20,MAR26,1979,
14800039,"Andrade, Ivan",MOZ,M,FM,,,2112,0,20,MAR26,1982,
14800438,Belmiro Mendes Mahota,MOZ,M,,,,1755,0,20,MAR26,1999,i
14800489,Botao Milton,MOZ,M,,,,1974,0,20,MAR26,1983,i
14802279,"Cardoso, Bruno Artur",MOZ,M,,,,1828,0,20,MAR26,1999,
14804174,"Carquete, Galilei",MOZ,M,,,,1807,0,20,MAR26,2006,
14800250,"Castro, Neusa Aridas De",MOZ,F,WCM,WCM,SI,1716,0,20,MAR26,1995,w
14800764,"Chirindza, Rafael Bernardo",MOZ,M,,,,1894,0,20,MAR26,1996,
14800276,"Chunguane, Ilidio Alberto",MOZ,M,CM,,,1912,0,20,MAR26,1976,
14807688,"Cossa, Luis Manuel",MOZ,M,,,,1750,0,20,MAR26,1995,
14803607,"Cossa, Remigio Enoque",MOZ,M,,,,1818,0,20,MAR26,2006,
14802228,Cumbane. Augusto Elidio,MOZ,M,,,,1744,0,,MAR26,2001,
14802821,Edivaldo Onions Araujo,MOZ,M,,,,1689,0,20,MAR26,1992,
14801639,Emanuel de Marques Mondlane Mavale Malua,MOZ,M,,,,1823,0,20,MAR26,2005,
14806339,"Guambe, Joao Rubene",MOZ,M,,,,2040,0,20,MAR26,2004,
14810107,"Gulele, Claudio Henriques",MOZ,M,,,,1682,0,40,MAR26,2008,
14800373,Hayssan Abdul Arnaldo Afu,MOZ,M,,,,1800,0,20,MAR26,2005,
14807629,"Herema, Sebastiao Manuel",MOZ,M,,,,1581,0,20,MAR26,1998,
14802120,"Ignacio, Arroyo Mayo",MOZ,M,,NA,,1888,0,20,MAR26,1984,i
14801221,"Jamal, Hamid Harmon Gulamo",MOZ,M,CM,,,1955,0,20,MAR26,1999,
14810182,"Jambo, Evandro Cesaltino Teodosio Ferrao",MOZ,M,,,,1675,0,20,MAR26,1979,
14809931,"Jangua, Lourenco augusto",MOZ,M,,,,1516,0,20,MAR26,1999,
14802562,"Jazire, Elijah",MOZ,M,,,,1761,0,20,MAR26,1988,
14800730,Joao Farisse,MOZ,M,CM,,,1876,0,20,MAR26,2004,
14801159,"Mabote, Sa Adolfo",MOZ,M,,,,1690,0,20,MAR26,1956,
14802970,"Macucha, Carlos Manuel",MOZ,M,,,,1577,0,20,MAR26,1965,
14802287,"Magagule, Senzo Frederico",MOZ,M,,,,1923,0,20,MAR26,2002,
14802023,"Mahassule, Jubilio Alberto",MOZ,M,,,,1705,0,20,MAR26,2000,
14801256,"Mahota Jr, Guimaraes Mendes",MOZ,M,,,,1877,0,20,MAR26,1988,i
14800209,"Malenda, Ana",MOZ,F,,,,1525,0,20,MAR26,1987,w
14800802,"Manjate, Celso Andre",MOZ,M,,,,1887,0,20,MAR26,2001,
14801973,"Mariano, Dionisio Antonio",MOZ,M,,NA,,1580,0,20,MAR26,1986,
14801906,"Matequenha, Francisco",MOZ,M,,,,1780,0,20,MAR26,1995,i
14809095,"Meireles, Guilherme De Henrique",MOZ,M,,,,1578,0,40,MAR26,2008,
14810034,"Mucavel, Marcelo Joao",MOZ,M,,,,1634,0,20,MAR26,1996,
14807653,"Muchanga, Pedro Flavio",MOZ,M,,,,1540,0,20,MAR26,2001,
14807726,"Muchave, Vinicio Queiroz",MOZ,M,,,,1583,0,20,MAR26,1994,
14803569,"Naftal, Firmino Fernando",MOZ,M,,,,1671,0,20,MAR26,1973,
14801302,"Napoleao, Lourenco",MOZ,M,CM,,,1936,0,20,MAR26,1995,
14801337,"Nhacula, Orlando",MOZ,M,,,,1945,0,20,MAR26,1979,i
14800098,"Paiva, Donaldo",MOZ,M,FM,,,2263,0,20,MAR26,1991,i
14805316,"Posso, Bruno Eduardo",MOZ,M,,,,1739,0,20,MAR26,1996,i
14801345,"Poyiatzis,Alexandros Michali Ribeiro e Silva",MOZ,M,,,,1718,0,,MAR26,1997,i
14800470,"Sitoe, Sheila Judite Jacinto",MOZ,F,,,,1566,0,20,MAR26,1996,w
14807564,"Sozinho, Lidia Jose",MOZ,F,,,,1606,0,20,MAR26,2003,w
14805839,"Uamusse, Stelio Henriques",MOZ,M,,,,1783,0,20,MAR26,1994,
14800144,"Vilhete, Vania Fausto Da T.",MOZ,F,WIM,WIM,,1776,0,20,MAR26,1985,wi
14802902,"Zimba, Domingos Fabiao",MOZ,M,,,,1519,0,20,MAR26,1966,
