ID Number,Name,Fed,Sex,Title,WTit,OTit,Rating,Gms,K,RatingMonth,B-day,Flag
13017934,Ar Kar Min Than,MYA,M,,,,2186,0,20,SEP25,1977,i
13028359,Arkar Phyo,MYA,M,,,,1867,6,40,SEP25,1995,
13022849,Aung Bhone Thu Kha,MYA,M,,,,1613,3,40,SEP25,2014,
13024566,Aung Hein Khant,MYA,M,,,,1490,0,40,SEP25,2014,
13024175,Aung Kaung Khant A,MYA,M,,,,1692,0,40,SEP25,2008,
13009087,Aung Kaung Myat,MYA,M,,,,1824,0,20,SEP25,2004,i
13025104,Aung Kaung Myat Moe,MYA,M,,,,1863,0,40,SEP25,2012,
13025880,Aung Kaung Thant Oo,MYA,M,,,,1752,0,40,SEP25,2008,
13027450,Aung Khant Phyo,MYA,M,,,,1593,0,40,SEP25,2010,
13020382,Aung Khant Thu,MYA,M,,,,1689,0,40,SEP25,2008,
13023918,Aung Ko Thet,MYA,M,,,,1904,0,40,SEP25,1982,i
13023810,Aung Kyaw Moe A,MYA,M,,,,1862,9,20,SEP25,1974,
13003267,Aung Min Khant,MYA,M,,,,1903,0,20,SEP25,2000,i
13025422,Aung Mingalar Hein,MYA,M,,,,1746,0,40,SEP25,2011,i
13025686,Aung Myint Myat A,MYA,M,,,,1555,0,40,SEP25,2007,
13024205,Aung Myint SDG,MYA,M,,,,1897,0,40,SEP25,1960,i
13012100,Aung Naing Toe,MYA,M,,,,1953,0,40,SEP25,1976,i
13018248,Aung Phone Maw,MYA,M,,,,1745,0,20,SEP25,2003,
13027077,Aung San Lin,MYA,M,,,,1834,8,40,SEP25,1982,
13028090,Aung San Lwin,MYA,M,,,,ACM,1591,5,SEP25,1978,
13007858,Aung Soe Lwin,MYA,M,,,,1937,0,20,SEP25,1978,
13008722,Aung Soe Moe,MYA,M,,,,2003,0,40,SEP25,1979,
13023926,Aung Soe Moe A,MYA,M,,,,1932,0,40,SEP25,1977,
13009435,Aung Thike,MYA,M,,,,1999,0,40,SEP25,1964,i
13009370,Aung Thinn,MYA,M,,,,2091,0,40,SEP25,1991,
13008315,Aung Thu,MYA,M,,,,2068,8,20,SEP25,1988,
13021605,Aung Thurein Lin,MYA,M,,,,1603,0,40,SEP25,2013,
13003682,Aung Zaw Win Htike,MYA,M,,,,2038,0,20,SEP25,1971,i
13006088,"Aung, Aung B",MYA,M,,,,1833,0,40,SEP25,1964,
13027247,"Aung, Aung D",MYA,M,,,,1965,0,40,SEP25,2002,
13006142,"Aung, Naing",MYA,M,,,,2197,0,20,SEP25,1977,
13000969,"Aung, Paing Soe",MYA,M,,,,2044,0,20,SEP25,1978,i
13004565,Aye Ko,MYA,M,,,,1999,0,20,SEP25,1964,i
13009389,Aye Ko A,MYA,M,,,,1917,0,40,SEP25,1968,
13023756,Aye Min Soe,MYA,M,,,,1773,0,40,SEP25,1985,i
13004301,Aye Thandar Aung,MYA,F,,,,1930,0,20,SEP25,1998,wi
13006703,Ba Kyaw,MYA,M,,,,1941,0,20,SEP25,1962,i
13024540,Bhone Sett Ti,MYA,M,,,,1538,0,40,SEP25,2012,
13023934,Bo Bo San,MYA,M,,,,1795,0,40,SEP25,1976,i
13010794,Chan Myae Thu,MYA,M,,,,1773,0,40,SEP25,1992,
13007459,Chan Nyein Aung,MYA,M,,NA,,1914,0,20,SEP25,1996,
13005057,Chan Tun Lin,MYA,M,,,,1948,0,20,SEP25,1981,
13021575,Chit Khine,MYA,M,,,,1543,0,20,SEP25,1993,i
13001280,Chit Ko Ko A,MYA,M,,,,2202,0,10,SEP25,1965,
13015451,Chit Ko Naing,MYA,M,,,,1885,0,20,SEP25,1999,i
13008323,Chit Ye Thu,MYA,M,,,,AGM,1654,33,SEP25,1984,
13021613,Eant Phone Shan,MYA,M,,,,1688,0,40,SEP25,2012,
13004140,Ei Chaint Chaint,MYA,F,,,,1663,0,20,SEP25,1999,wi
13015370,Ei Ei Chaw,MYA,F,,,,1789,0,20,SEP25,1998,wi
13002929,Ei Kyawt San,MYA,F,WFM,WFM,,2077,0,20,SEP25,1985,wi
13022580,Ei Shwe Zin Oo,MYA,F,,,,1845,0,40,SEP25,2004,wi
13025120,Ent Htoo Thit,MYA,M,,,,1613,0,40,SEP25,2015,
13023829,Gaday Soe,MYA,M,,,,1862,0,40,SEP25,1980,i
13004590,Hai Maung Maung,MYA,M,,,,2008,0,20,SEP25,1986,
13001817,Han Min Soe,MYA,M,,,,2239,0,20,SEP25,1978,
13004883,"Han, Zar Win",MYA,M,,,,1961,8,40,SEP25,1983,
13013742,Hay Mar Hnin Zaw,MYA,F,,,,1857,0,40,SEP25,1991,w
13012720,Hein Aung Khant,MYA,M,,,,1773,0,40,SEP25,2006,i
13015311,Hein Htet,MYA,M,,,,2016,7,40,SEP25,2003,
13024345,Hein Htet Zaw,MYA,M,,,,1847,6,40,SEP25,1991,
13026445,Hein Min Tun,MYA,M,,,,1607,0,40,SEP25,2002,
13019236,Hein Myat Aung,MYA,M,,,,1649,0,40,SEP25,2010,
13021630,Hein Myat Thu,MYA,M,,,,1709,0,40,SEP25,2010,
13019805,Hein Thant,MYA,M,,,,1446,0,40,SEP25,2012,i
13008331,Hla Min Tun,MYA,M,,,,1972,0,20,SEP25,1983,i
13023837,Hla Myo A,MYA,M,,,,1838,0,40,SEP25,1968,i
