ID Number,Name,Fed,Sex,Title,WTit,OTit,Rating,Gms,K,RatingMonth,B-day,Flag
21865124,"Abdalla, Elnour Michal",POL,M,,,,1450,0,40,SEP25,2007,i
21090041,"Ablewski, Jaroslaw",POL,M,,,,1579,0,20,SEP25,1978,i
21854009,"Abramek, Aleksandra",POL,F,,,,1590,0,20,SEP25,1991,wi
21874840,"Abramowicz, Aleksander",POL,M,,,,1534,0,20,SEP25,2006,i
21874417,"Abramowicz, Ignacy",POL,M,,,,1501,0,40,SEP25,2008,i
1186167,"Abramowski, Arkadiusz",POL,M,,,,1784,0,20,SEP25,1998,i
1175955,"Abratanski, Wojciech",POL,M,,,,1608,0,20,SEP25,1999,i
41850963,"Adam, Marcin",POL,M,,,,1765,0,20,SEP25,1977,
21857865,"Adamala, Jacek",POL,M,,,,1564,0,40,SEP25,2008,i
21880484,"Adamala, Tomasz",POL,M,,,,1416,0,40,SEP25,2010,i
41856279,"Adamczak, Marta",POL,F,,,,1440,0,40,SEP25,2014,wi
91162653,"Adamczak, Michal",POL,M,,,,1403,0,20,SEP25,1984,i
1135414,"Adamczewski, Jedrzej",POL,M,,,,2085,0,20,SEP25,1996,i
1148702,"Adamczewski, Maciej",POL,M,,,,2141,0,20,SEP25,1999,i
21820503,"Adamczyk, Dominik",POL,M,,,,1604,0,20,SEP25,2004,i
1120859,"Adamczyk, Hubert",POL,M,,,,1620,0,20,SEP25,1976,i
41803795,"Adamczyk, Kacper",POL,M,,,,1629,0,40,SEP25,2009,i
91107563,"Adamczyk, Karol",POL,M,,,,1494,0,40,SEP25,2008,
21859094,"Adamczyk, Kordian",POL,M,,,,1741,0,20,SEP25,1990,i
21863652,"Adamczyk, Maciej",POL,M,,,,1740,0,40,SEP25,2007,i
1183567,"Adamczyk, Pawel",POL,M,,,,1835,0,20,SEP25,1999,i
1174312,"Adamczyk, Piotr",POL,M,,,,1788,0,20,SEP25,1968,i
1187570,"Adamczyk, Zuzanna",POL,F,WCM,WCM,,1893,0,20,SEP25,2004,w
1120875,"Adamek, Artur",POL,M,,,,1594,0,20,SEP25,1976,i
21094373,"Adamek, Jacek",POL,M,,,,1626,0,20,SEP25,1968,i
21042195,"Adamek, Stanislaw",POL,M,,,,1521,0,20,SEP25,1939,i
21853231,"Adamiak, Szymon",POL,M,,,,1452,0,20,SEP25,2004,i
41815696,"Adamiak, Szymon",POL,M,,,,1707,0,20,SEP25,1988,i
41821513,"Adamowicz, Borys",POL,M,,,,1572,0,40,SEP25,2013,
1134043,"Adamowicz, Katarzyna",POL,F,WFM,WFM,,2044,0,20,SEP25,1993,wi
1139967,"Adamowicz, Lukasz",POL,M,,,,1886,0,20,SEP25,1990,i
1176730,"Adamowicz, Maciej",POL,M,,,,2036,0,20,SEP25,1995,i
1159216,"Adamowicz, Marek",POL,M,,NA,,1711,0,20,SEP25,1998,i
21820023,"Adamowicz, Michal",POL,M,,,,1749,44,20,SEP25,2002,
21011095,"Adamowicz, Nikola",POL,F,,,,1442,0,40,SEP25,2009,wi
1159224,"Adamowicz, Piotr",POL,M,,,,1707,0,20,SEP25,1995,i
1186370,"Adamski, Adam",POL,M,,,,1804,0,20,SEP25,1990,
41879473,"Adamski, Bartosz",POL,M,,,,1627,0,20,SEP25,2005,i
91180236,"Adamski, Franciszek",POL,M,,,,1608,8,40,SEP25,2008,
1100190,"Adamski, Jan",POL,M,IM,,,1953,0,20,SEP25,1943,
41833368,"Adamski, Jaroslaw",POL,M,,NA,,1545,0,20,SEP25,1993,i
