ID Number,Name,Fed,Sex,Title,WTit,OTit,Rating,Gms,K,RatingMonth,B-day,Flag
17800030,"Agbaje, Samzu.o.h.",SLE,M,,,,1665,0,20,SEP26,1987,
17800323,"Bangura, Hussain Dauda",SLE,M,,,,1605,0,40,SEP26,2004,i
17800340,"Bangura, Kabba Anthony",SLE,M,,,,1799,0,40,SEP26,1998,i
17800013,"Beckley, Joseph Adeshole Brian",SLE,M,,,,1751,0,20,SEP26,1987,i
17800781,"Bockarie, Peter",SLE,M,,,,1584,0,40,SEP26,2001,i
17800358,"Boyle, Sonia",SLE,F,,,,1517,0,40,SEP26,1991,wi
17800919,Cecil Bliss Osho Williams,SLE,M,,,,1618,0,40,SEP26,2009,i
17801001,"Cole, Jonathan Adeyemi",SLE,M,,,,1544,0,40,SEP26,2006,i
17800250,"Conteh, Moses Ina Ebenezer",SLE,M,,,,1619,0,40,SEP26,2006,i
17801079,Gbo- Musa Emmanuel Alpha,SLE,M,,,,1456,0,40,SEP26,1997,i
17800935,"Kargbo, I Michael",SLE,M,,,,1431,0,40,SEP26,2011,i
17800587,"Lavalie, Abdul Amara",SLE,M,,,,1594,0,40,SEP26,2003,i
17800498,Mohamed Dumbuya,SLE,M,,,,1566,0,40,SEP26,1994,i
17801028,"Moore, Warren Joseph Obidiah",SLE,M,,,,1661,0,40,SEP26,2010,i
17801044,"Pessima, Tommy",SLE,M,,,,1607,0,40,SEP26,2004,i
17800153,Samuel Kamara,SLE,M,,,,1637,0,40,SEP26,1989,i
17800544,"Sebastian, Antic",SLE,M,,,,1630,0,40,SEP26,1998,i
17800897,"Swaray, Alusine",SLE,M,,,,1613,0,40,SEP26,2002,i
17800560,"Tarawallie, Issa Peter",SLE,M,,,,1652,0,40,SEP26,2005,i
17800196,"Tenequee, Saa Joseph",SLE,M,,,,1707,0,40,SEP26,1996,i
17800048,"Thomas, Winston Gerald Mansfield",SLE,M,,,,1927,0,20,SEP26,1963,i
17800269,"Toronka, Abdul Rahman",SLE,M,,,,1505,0,40,SEP26,1983,i
