ID Number,Name,Fed,Sex,Title,WTit,OTit,FOA,Rating,Gms,K,B-day,Flag
6219802,"Adireksombat, Tayos",THA,M,,,,1460,AUG25,0,40,2012,
6215629,"Aewsrisakul, Kasidech",THA,M,,,,1517,AUG25,0,40,2005,i
6201318,"Akharaboollasez, Akharin",THA,M,,NA,,1918,AUG25,0,20,1977,
6208169,"Alriyami, Faris Rashid",THA,M,,,,AIM,AUG25,1916,0,2006,
6204953,"Angkanawin, Siwabannakorn",THA,M,,,,1608,AUG25,5,20,2004,
6222811,"Apichonnabutr, Ratchanon",THA,M,,,,AFM,AUG25,1537,0,2011,
6220835,"Apiruengpituk, Janepoj",THA,M,,,,1498,AUG25,0,40,1991,
6217826,"Aramvareekul, Aten Parit",THA,M,,,,1464,AUG25,0,40,2011,
6208860,"Aree, Yasamin",THA,F,,,,1510,AUG25,0,20,1999,wi
6209840,"Ariyaburoot, Jeera",THA,M,,,,1483,AUG25,6,40,2007,
6214789,"Ariyasoonthorn, Wichitchai",THA,M,,,,1487,AUG25,0,20,2004,i
6225012,"Ariyasuwanachoti, Natchai",THA,M,,,,1513,AUG25,0,40,2009,
6200907,"Arpijuntarangkoon, Jaradpong",THA,M,,,,1985,AUG25,0,20,1981,
6226906,"Arun, Naruebej",THA,M,,,,1528,AUG25,7,40,2014,
6206476,"Arun, Supanut",THA,M,,,,1659,AUG25,0,40,2005,i
6202039,"Arunnuntapanich, Tinnakrit",THA,M,FM,,,2113,AUG25,7,20,1991,
6204856,"Asavasaetakul, Chawit",THA,M,,,,AGM,AUG25,1951,0,2003,i
6201857,"Asavayutphol, Pattarapong",THA,M,,FA,,1644,AUG25,0,20,1998,i
6216358,"Asawapiromz, Werawis",THA,M,,,,1644,AUG25,0,40,2006,i
6210384,"Asvahem, Peerathat",THA,M,,,,1560,AUG25,5,40,2013,
6203191,"Atikankhotchasee, Manunthon",THA,F,WFM,WFM,FI,1694,AUG25,0,20,1991,wi
6201555,"Atthaworadej, Woradej",THA,M,,,,1862,AUG25,0,20,1998,i
6201563,"Atthaworadej, Worasuda",THA,F,WCM,WCM,,1820,AUG25,0,20,1999,wi
6213561,"Bhumi-Archava, Paribatra",THA,M,,,,1542,AUG25,0,20,1999,i
6219748,"Bodeetorn, Sutcharit",THA,M,,,,1482,AUG25,0,40,1994,
6205488,"Bodemar, Jonathan",THA,M,CM,,,2060,AUG25,6,20,2006,
6221009,"Boonin, Possawee",THA,M,,,,1584,AUG25,0,40,2004,
6207022,"Boonkongchuen, Arpakorn",THA,M,,,,1624,AUG25,0,20,1969,i
6215947,"Boonpung, Phongsathon",THA,M,,NA,,1410,AUG25,0,40,2004,i
6201865,"Boonruamboon, Arch",THA,M,,,,1902,AUG25,0,20,1972,i
6201113,"Boonsong, Permsak",THA,M,,,,1705,AUG25,0,20,1984,
6210740,"Boonsung, Satchukorn",THA,M,,,,1425,AUG25,0,40,2010,i
6221351,"Boonthittanont, Sittichok",THA,M,,,,1608,AUG25,0,40,2008,i
6209165,"Boonyaudomsart, Nuttapon",THA,M,,,,1617,AUG25,0,20,2001,i
6206654,"Bootsumran, Sirin",THA,F,,NA,,1637,AUG25,0,40,2008,wi
6207561,"Borirakphatthanakul, Waranya",THA,F,,,,1506,AUG25,0,40,2005,wi
6211151,"Botkate, Chanaporn",THA,F,,,,1463,AUG25,2,40,1969,w
6200265,"Brahmawong, Patcharawee",THA,M,,,,2057,AUG25,0,20,1980,i
6210120,"Branz, Alan",THA,M,,,,1543,AUG25,0,40,2009,i
6212557,"Brunner, Dan Nathan",THA,M,,,,1527,AUG25,0,40,2007,i
6224199,"Buaban, Patiphan",THA,M,,,,1609,AUG25,0,40,2004,
