ID Number,Name,Fed,Sex,Title,WTit,OTit,Rating,Gms,K,RatingMonth,B-day,Flag
14706253,"Abdukarimzoda, Muhamadamin",TJK,M,,,,1448,0,40,FEB26,2000,
14700433,Abdullaev Bahodur,TJK,M,,,,1964,0,20,FEB26,1964,
14705176,"Abdulloev, Masrur",TJK,M,,,,1590,5,40,FEB26,2007,
14700921,"Abduzarif, Shahriyor",TJK,M,,,,1602,0,20,FEB26,2004,i
14701308,"Abrorov, Mukhammadamin",TJK,M,,,,1780,0,20,FEB26,2002,
14701553,"Abrorova, Sabrina",TJK,F,,,,1853,0,20,FEB26,2006,w
14701561,"Afzali, Nazira",TJK,F,,,,1507,0,40,FEB26,2003,wi
14703173,"Ahmadov, Ahsanjon",TJK,M,,,,1768,0,40,FEB26,1976,i
14705451,"Akhmedov, Nosirjon",TJK,M,,,,1656,0,40,FEB26,1993,
14702770,"Akhmedov, Parviz",TJK,M,,,,1912,0,40,FEB26,2005,i
14704382,"Akimov, Abdulaziz",TJK,M,,,,1720,0,40,FEB26,1967,i
14701677,"Aliev, Hamrokul",TJK,M,,,,1884,0,40,FEB26,1954,i
14702800,"Alihmadov, Rahmatullo",TJK,M,,,,1580,0,40,FEB26,1955,
14703971,"Alimardonova, Shahzoda",TJK,F,,,,1460,5,40,FEB26,2011,w
14704390,"Alimov, Muhammadsafo",TJK,M,,,,1712,0,40,FEB26,1974,i
14702495,"Alimurodova, Sayora",TJK,F,,,,1500,0,40,FEB26,2007,wi
14700786,"Aminzoda, Zebo",TJK,F,,,,1600,0,40,FEB26,1996,wi
14700077,"Amonatov, Farrukh",TJK,M,GM,,,2598,0,10,FEB26,1978,i
14700492,"Antonova, Lidiya",TJK,F,,,,1573,0,20,FEB26,1955,w
14700182,"Antonova, Nadezhda",TJK,F,WFM,WFM,,1993,0,20,FEB26,1988,w
14701715,"Ashurov, Ibrokhim",TJK,M,,,,1585,0,40,FEB26,2009,i
14702940,"Asrori, Rustam",TJK,M,,,,1764,6,40,FEB26,2009,
14702509,"Avzalzoda, Ahmad",TJK,M,,NA,,2008,0,20,FEB26,2003,
14703270,"Azimov, Siyovush",TJK,M,,,,1854,0,40,FEB26,2007,i
14706350,"Azimova, Zaituna",TJK,F,,,,1442,0,40,FEB26,2005,w
14704692,"Azizzoda, Azamat",TJK,M,,,,1550,0,40,FEB26,2004,
14704870,"Azizzoda, Jahongir",TJK,M,,,,1704,6,40,FEB26,2011,
14701391,"Batyrov, Sherzod",TJK,M,,,,1873,0,40,FEB26,1987,i
14703254,"Bekmurodova, Safina",TJK,F,,,,1572,0,40,FEB26,2007,wi
14701901,"Beknazarov, Fazliddin",TJK,M,,,,1875,0,40,FEB26,2000,i
14701880,"Beknazarov, Husniddin",TJK,M,,,,1782,0,40,FEB26,2000,i
14701472,"Beknazarov, Shohrukh",TJK,M,,,,1851,0,40,FEB26,1996,i
14703181,"Boboev, Khurshed",TJK,M,,,,1722,0,40,FEB26,1964,
14702061,"Bobozoda, Kimiyo",TJK,F,,,,1416,0,40,FEB26,2000,wi
14703041,"Boinazarov, Shohrukh",TJK,M,,,,1464,1,40,FEB26,2013,
14700867,"Boltaev, Hakim",TJK,M,,,,1927,0,40,FEB26,1971,i
14703033,"Boqiev, Buzurgmehr",TJK,M,,,,1514,0,40,FEB26,2010,i
14702150,"Bozmamadov, Gulmamad",TJK,M,,,,1724,0,40,FEB26,1975,i
14701081,"Bozorali, Davron",TJK,M,,,,1591,0,40,FEB26,2000,
14702126,"Bustonov, Rasuljon",TJK,M,,,,1570,0,40,FEB26,1960,i
14701502,"Buzurukov, Akhlidin",TJK,M,,,,1737,0,40,FEB26,1961,i
14701685,"Davlatov, Odinakhuja",TJK,M,,,,1598,0,20,FEB26,1959,
14701596,"Davlatova, Amina",TJK,F,,,,1641,0,40,FEB26,2001,wi
14704935,"Davronov, Nekruz",TJK,M,,,,1787,0,40,FEB26,2007,
14706490,"Davronov, Umar",TJK,M,,,,1703,5,40,FEB26,2011,
14201690,"Djuraev, Sokhib",TJK,M,FM,FA,,2192,0,10,FEB26,1990,
14702460,"Dustmamadova, Safina",TJK,F,,,,1443,0,40,FEB26,2006,wi
14701294,"Dzhonuzokova, Muharama",TJK,F,,,,1638,0,40,FEB26,2000,wi
14701960,"Fayzieva, Darina",TJK,F,,,,1582,0,20,FEB26,2006,w
14700115,"Fedorov, Vladislav O.",TJK,M,,,,2092,0,20,FEB26,0,i
14700352,"Gadoev, Timur",TJK,M,,,,1998,0,20,FEB26,1990,i
14701774,"Gaforova, Saikhuna",TJK,F,,,,1527,0,40,FEB26,1996,wi
14701626,"Gafurov, Khushbakht",TJK,M,,,,1913,0,40,FEB26,1991,i
14702134,"Gafurov, Nazar",TJK,M,,,,1617,4,,FEB26,2012,
14701030,"Gayurov, Faizali",TJK,M,,,,1672,0,40,FEB26,1954,i
14702177,"Gazalov, Aziz",TJK,M,,,,1765,0,40,FEB26,1974,
14702479,"Gulbekova, Nilguna",TJK,F,,,,1588,0,40,FEB26,2007,w
14703289,"Gulomov, Farhod",TJK,M,,,,1713,0,40,FEB26,1983,i
14702185,"Gulov, Vaisiddin",TJK,M,,,,1805,0,40,FEB26,1973,i
14704536,"Haidarova, Hangoma",TJK,F,,,,1425,0,40,FEB26,2011,w
14702908,"Haidarova, Mehrona",TJK,F,,,,1524,0,40,FEB26,2008,w
14703297,"Haitov, Bakhtiyor",TJK,M,,,,2029,0,40,FEB26,1988,
14700140,"Hamidov, Batir",TJK,M,,,,2217,0,40,FEB26,1981,i
14702320,"Hisoriev, Shorahmat",TJK,M,,NA,,1756,0,20,FEB26,1955,
14704994,"Homidov, Abubakr",TJK,M,,,,1402,0,40,FEB26,2015,
14700204,"Hotami, Mutriba",TJK,F,,FA,,1878,0,20,FEB26,1997,w
14700794,"Hotami, Sino",TJK,M,,NA,,1711,0,40,FEB26,2001,i
14703610,"Huseinova, Osiya",TJK,F,,,,1505,0,40,FEB26,2013,w
14700328,"Ibrohimov, Ikrom",TJK,M,FM,,,2271,0,20,FEB26,1992,i
14701146,"Ilhomzoda, Maryam",TJK,F,,,,1618,0,20,FEB26,2002,wi
14700948,"Ilkhomi, Jaloliddin",TJK,M,IM,,,2353,0,20,FEB26,2007,
14701812,"Inomjonov, Maruf",TJK,M,,,,1932,0,20,FEB26,1955,i
14700050,"Isaev, Jamshed",TJK,M,IM,"FT,FA",,2227,0,10,FEB26,1967,
14706091,"Ishoqi, Alamkhon",TJK,M,,,,1696,0,40,FEB26,2003,
14706075,"Iskandarov, Khushnudjon",TJK,M,,,,1544,0,40,FEB26,2011,
14701448,"Iskandarova, Mehrona",TJK,F,,,,1619,0,20,FEB26,1999,w
14702053,"Iskandarova, Safina",TJK,F,,,,1487,0,40,FEB26,2005,wi
14700840,"Ismailov, Timur",TJK,M,,,,1937,0,20,FEB26,1990,
14705672,"Ismoilov, Ibrohim",TJK,M,,,,1672,0,40,FEB26,1952,
14700654,"Jonuzokova, Muharram",TJK,F,,,,1782,0,40,FEB26,2000,wi
14702916,"Jumaev, Ihson",TJK,M,,,,1896,0,40,FEB26,2007,
14702193,"Jumaev, Khusrav",TJK,M,,,,2079,0,20,FEB26,1982,i
14700425,"Jumaev, Olucha",TJK,M,,,,1915,0,20,FEB26,1954,
14703114,"Jumaeva, Shohsanam",TJK,F,,,,1630,0,40,FEB26,2007,w
14703246,"Jumazoda, Muhammadali",TJK,M,,,,1887,0,40,FEB26,2007,i
14702118,"Juraev, Behruz",TJK,M,,,,1721,0,40,FEB26,2005,i
14706237,"Juraev, Odiljon",TJK,M,,,,1720,0,40,FEB26,1979,
14700859,"Kabilov, Amin",TJK,M,FM,,,2231,0,20,FEB26,1996,
14705397,"Kamolov, Farrukh",TJK,M,,,,1716,6,40,FEB26,2013,
14703238,"Kamolov, Qudrat",TJK,M,,,,1692,0,40,FEB26,1973,i
14701731,"Kandakov, Mehrbakhsh",TJK,M,,,,1782,0,20,FEB26,2005,i
14701049,"Karamshoev, Shafik",TJK,M,,,,1994,0,20,FEB26,1998,i
14700280,"Karimov, Alisher",TJK,M,FM,"FI,NA",,2251,0,20,FEB26,1997,
14701359,"Karimov, Haidar",TJK,M,,,,1674,0,20,FEB26,1952,i
14702584,"Karimov, Rahmatullo",TJK,M,,,,1774,0,40,FEB26,1971,i
14700522,"Karimova, Sarvinoz",TJK,F,,NA,,1752,0,20,FEB26,1996,wi
14702550,"Khalfin, Felix",TJK,M,,,,1762,0,40,FEB26,1962,i
14700042,"Khamdamov, Suhrob",TJK,M,IM,,,2066,0,20,FEB26,1966,
14700581,"Khidoyatov, Miraziz",TJK,M,,,,1717,0,40,FEB26,1958,
14705087,"Khojaev, Rabbi",TJK,M,,,,1414,2,40,FEB26,2012,
14703211,"Khojaeva, Tomiris",TJK,F,,,,1549,5,40,FEB26,2011,w
14703203,"Khojaeva, Yosamin",TJK,F,,,,1605,2,40,FEB26,2013,w
14706202,"Kholdorov, Akramkhon",TJK,M,,,,1465,0,40,FEB26,1966,
14702207,"Kholiqov, Bakhtiyor",TJK,M,,,,1950,0,20,FEB26,1978,
14704544,"Khollieva, Ismigul",TJK,F,,,,1428,0,40,FEB26,2011,w
14702754,"Kholov, Boymurod",TJK,M,,,,1668,0,40,FEB26,1968,
14700808,"Kholov, Rakhmanali",TJK,M,,,,1737,0,40,FEB26,1957,i
14703009,"Kholova, Amal",TJK,F,,,,1436,0,40,FEB26,2014,w
14701537,"Khotamov, Ismail",TJK,M,,,,1472,0,40,FEB26,2008,
14700093,"Khouseinov, Rashid",TJK,M,,,,2268,0,20,FEB26,1963,i
14702487,"Khudoyqulova, Muhiba",TJK,F,,,,1481,0,40,FEB26,2005,w
14701367,"Khusainov, Alikhon",TJK,M,,,,1807,0,40,FEB26,1958,
14700247,"Khusenkhojaev, Muhammad",TJK,M,IM,,,2377,0,10,FEB26,1987,
14700727,"Khusenkhojaev, Mustafokhuja",TJK,M,IM,,,2407,0,10,FEB26,1998,
14701979,"Kodiri, Pairavi",TJK,M,,,,2036,5,40,FEB26,2011,
14702835,"Komyobova, Farahnoz",TJK,F,,,,1438,0,40,FEB26,2007,wi
14702843,"Komyobova, Farangis",TJK,F,,,,1434,0,40,FEB26,2008,wi
14700972,"Kosimzoda, Bakhtovar",TJK,M,,,,1603,0,20,FEB26,1998,i
14701634,"Kullaev, Khurshed",TJK,M,,,,1914,0,40,FEB26,1969,i
14701170,"Kulmamadov, David",TJK,M,,,,1930,0,20,FEB26,1996,
14701839,"Li, Afanasiy",TJK,M,,,,1502,0,40,FEB26,1953,
14701090,"Madaminov, Shohzamon",TJK,M,,,,1802,0,40,FEB26,2002,
14705184,"Madokhirov, Khurshed",TJK,M,,,,1784,0,40,FEB26,2008,
14702215,"Mahmadyorov, Sobir",TJK,M,,,,1829,0,40,FEB26,1986,
14702525,"Makhmaraev, Makhamadi",TJK,M,,,,1800,0,40,FEB26,1960,i
14703130,"Makhmudova, Nozanin",TJK,F,,,,1721,7,40,FEB26,2010,w
14701189,"Makhsudshoev, Ayub",TJK,M,,,,1654,0,40,FEB26,1994,
14702223,"Makhsudshoev, Hofiz",TJK,M,,,,1913,0,40,FEB26,2002,i
14701928,"Makhsudshoev, Navoi",TJK,M,,,,1846,0,40,FEB26,1998,i
14702231,"Makhsudshoev, Nozim",TJK,M,,,,1906,0,20,FEB26,1967,
14702452,"Makhsudshoeva, Noziya",TJK,F,,,,1509,0,40,FEB26,2009,w
14702860,"Makhsudshoeva, Vasila",TJK,F,,,,1527,0,40,FEB26,2004,wi
14701782,"Makhsutshoeva, Adiba",TJK,F,,,,1641,0,40,FEB26,1989,wi
14700590,"Maksudshoev, Kubot",TJK,M,,,,2002,0,20,FEB26,1990,
14701650,"Mamadayozov, Alisher",TJK,M,,,,1776,0,40,FEB26,1991,i
14702240,"Mamadorifov, Sohibnazar",TJK,M,,,,1828,0,40,FEB26,1948,i
14700123,"Mamadshoev, Marat",TJK,M,,,,2299,0,20,FEB26,1967,i
14701820,"Mamurov, Behruz",TJK,M,,,,1842,0,40,FEB26,1994,i
14701499,"Mansurov, Nasimjon",TJK,M,,,,1730,0,40,FEB26,1950,i
14700883,"Mashabova, Amina",TJK,F,,NA,,1696,0,20,FEB26,2003,w
14702037,"Mashabova, Shukrona",TJK,F,,,,1731,5,20,FEB26,2006,w
14701804,"Mavlonov, Asliddin",TJK,M,,,,1794,0,40,FEB26,1977,
14706296,"Mikhliboev, Ilhom",TJK,M,,,,1814,0,40,FEB26,1983,
14700220,"Mirzozoda, Shodmon",TJK,M,,,,1798,0,40,FEB26,1995,i
14705060,"Muhiddinova, Amira",TJK,F,,,,1424,2,40,FEB26,2013,w
