ID Number,Name,Fed,Sex,Title,WTit,OTit,Rating,Gms,K,RatingMonth,B-day,Flag
16301072,"Asanaka, Louis",TPE,M,,,,1719,0,20,AUG25,2003,i
16301242,"Asanaka, Luca",TPE,M,,,,1624,0,40,AUG25,2006,i
16301188,"Bai, Adelard",TPE,M,IM,,,2385,0,20,AUG25,2007,
16300254,"Camhi, David",TPE,M,,,,1657,0,20,AUG25,1972,
16301145,"Chan,Ming-Hsuan Ian",TPE,M,,,,1638,0,20,AUG25,2000,i
16305043,"Chang, Chia-Wei",TPE,M,,,,1723,7,40,AUG25,2009,
16301706,"Chang, Wei-Chen",TPE,M,,,,1795,0,20,AUG25,2001,i
16305329,"Chao, Andrew Tzu Chun",TPE,M,,,,1483,6,40,AUG25,2014,
16304616,"Chao, Tzu-Chi Angie",TPE,F,,,,1452,0,40,AUG25,2010,w
16304438,"Chao, Tzu-Yi Anderson",TPE,M,,,,1611,0,40,AUG25,2007,i
16301633,"Chen, Chi",TPE,F,,NI,,1693,0,20,AUG25,2000,wi
16304128,"Chen, Jun-Wei",TPE,M,,,,1762,0,40,AUG25,2012,i
16301579,"Chen, Kai-Chun",TPE,M,,,,1594,0,40,AUG25,2006,i
16301951,"Chen, Kuan Chin",TPE,M,,,,1542,0,20,AUG25,2004,i
16302044,"Chen, Matthew Ryan",TPE,M,,,,1504,0,40,AUG25,2006,i
16303164,"Chen, Pin-I",TPE,F,,,,1614,0,40,AUG25,2012,w
16301552,"Chen, Po-Han",TPE,M,,,,1594,0,40,AUG25,2005,i
16301722,"Chen, Shih-Ti",TPE,M,,,,1533,0,40,AUG25,2005,i
16300289,"Chen, Yan-Fong",TPE,M,,,,1843,0,20,AUG25,1998,i
16303989,"Chen, Yen-Chi",TPE,M,,,,1665,0,40,AUG25,2012,
16303156,"Chen, Yung-Hao",TPE,M,,,,AIM,1654,0,AUG25,2009,
16301471,"Cheng, Chen Li- Andrew",TPE,M,,,,ACM,1584,0,AUG25,2003,i
16301463,"Cheng, Chen Yu- Alexander",TPE,M,,,,AGM,1728,0,AUG25,2003,i
16301480,"Cheng, Cheng Chien- Andy",TPE,M,,,,1486,0,40,AUG25,2007,i
16302141,"Cheng, Hao Yuan",TPE,M,,,,1650,0,20,AUG25,1991,i
16305361,"Cheng, Shu-Tsai",TPE,M,,,,1608,0,40,AUG25,2017,
16304489,"Cheng, Yun-Tung",TPE,F,,,,1422,0,40,AUG25,2014,w
16300700,"Chiang, Szu-Min",TPE,F,,,,1636,0,20,AUG25,1992,wi
