ID Number,Name,Fed,Sex,Title,WTit,OTit,FOA,Rating,Gms,K,B-day,Flag
9319930,"Aamer Saeed, Alyileili",UAE,M,,,,1652,AUG25,0,40,2011,
9316655,"Abdalla, Yahya Alhammadi",UAE,M,,,,1653,AUG25,0,20,2006,i
9324038,Abdallah Sultan Jumaa,UAE,M,,,,1410,AUG25,0,40,2006,i
9326758,Abdelaziz Alshamsi,UAE,M,,,,1655,AUG25,0,20,2004,
9319069,"Abdelqadir Abdalla, Almulla",UAE,M,,NA,,1665,AUG25,0,20,1965,i
9317023,"Abdelrahim Hussain, Alzarooni",UAE,M,,,,1430,AUG25,0,20,2003,i
9323341,Abdelrahman Mohamed Al Hammadi,UAE,M,,,,1471,AUG25,0,40,2010,
9300260,"Abdulaziz, Abdulla",UAE,M,,,,1745,AUG25,0,20,1996,i
9310240,"Abdulaziz, Saleh",UAE,M,,,,1567,AUG25,0,20,0,i
9310118,"Abdulghafoor, Rashed",UAE,M,,,,1685,AUG25,0,20,0,i
9301640,"Abdulkarim, Ali",UAE,M,,,,1971,AUG25,0,20,1990,i
9319980,"Abdulla Adel, Alsheaili",UAE,M,,,,ACM,AUG25,1426,0,2010,
9325220,Abdulla Ali Aldhaheri,UAE,M,,,,1441,AUG25,0,20,1989,i
9329617,Abdulla Ali Almansoori,UAE,M,,,,1400,AUG25,0,40,2015,
9314512,Abdulla Aref,UAE,M,,,,1510,AUG25,0,20,2001,i
9328980,Abdulla Ateeq Alremaeithi,UAE,M,,,,1696,AUG25,0,40,2009,
9329404,Abdulla Ebrahim Almarzooqi,UAE,M,,,,1505,AUG25,0,40,2006,
9319948,"Abdulla Jassim, Albusmait",UAE,M,,,,1510,AUG25,0,40,2009,i
9308393,Abdulla M Hamed AlNeyadi,UAE,M,,,,1630,AUG25,0,20,2004,i
9318623,Abdulla Mahmood Abdulla Mohammad,UAE,M,,,,1655,AUG25,0,40,2007,i
9328076,Abdulla Majed Albedwawi,UAE,M,,,,1425,AUG25,0,20,1996,i
9323333,Abdulla Mohamed Al Hammadi,UAE,M,,,,1417,AUG25,0,40,2005,i
9317074,"Abdulla Mohammad, Hussain",UAE,M,,,,1538,AUG25,0,40,2005,i
9329153,Abdulla Musabbeh Alkaabi,UAE,M,,,,1496,AUG25,0,20,1996,
9324577,Abdulla Younes Alkhemeiri,UAE,M,,,,1653,AUG25,0,40,2008,
9302824,"Abdulla, Abdulwahab",UAE,M,,,,1921,AUG25,0,20,1996,i
9304746,"Abdulla, Ahmed",UAE,M,,,,1545,AUG25,0,20,1999,i
9301283,"Abdulla, Al Tahir",UAE,M,,,,1976,AUG25,0,20,1987,i
9302328,"Abdulla, Al-Hamed",UAE,M,,,,1809,AUG25,0,20,1999,i
9311882,"Abdulla, Alhosani",UAE,M,,,,1829,AUG25,0,40,0,
9302336,"Abdulla, Ali",UAE,M,,FA,,1828,AUG25,0,20,1996,i
9301216,"Abdulla, Mohamed Saleh",UAE,M,,,,1893,AUG25,0,20,1996,i
9306293,"Abdulla, Rashed",UAE,M,,,,1710,AUG25,0,20,2000,i
9306307,"Abdulla, Shaeri",UAE,M,,,,1767,AUG25,0,20,1998,i
9301550,"Abdullah, Al Hamed",UAE,M,,,,1800,AUG25,0,20,1999,i
9308946,"Abdulrahim, Salem",UAE,M,,,,1922,AUG25,0,20,2002,
9310258,"Abdulrahman Mohammad, Al Taher",UAE,M,FM,,,2109,AUG25,0,20,2006,i
9333533,Abdulrahman Shehab Khanji,UAE,M,,,,1694,AUG25,0,40,1992,i
9324020,Abdulrahman Sultan Jumaa,UAE,M,,,,1481,AUG25,0,40,2009,i
9303588,"Abdulrahman, Al Yafee",UAE,M,,,,1950,AUG25,0,20,0,i
9302930,"Abeer, Ali",UAE,F,WCM,WCM,NA,1623,AUG25,0,20,1996,w
9316418,"Abrar Mohammed, Almaazmi",UAE,F,,,,1482,AUG25,0,40,2008,wi
9313338,Ahlam Rashed,UAE,F,WIM,WIM,,1774,AUG25,0,20,2006,w
9302301,Ahmad M Saleh Alzarouni,UAE,M,,,,1782,AUG25,0,20,1995,i
9321934,Ahmad Seifollah Shamsaei,UAE,M,,,,1438,AUG25,0,40,2005,i
9319042,Ahmad Y M Karimi,UAE,M,,,,1435,AUG25,0,40,2009,i
9310622,"Ahmad, Al Romaithi",UAE,M,,,,1938,AUG25,0,20,0,
9327061,Ahmed Ali Bamatraf,UAE,M,,,,1551,AUG25,0,40,2009,
9320881,Ahmed Eissa Al Madhaani,UAE,M,,,,1531,AUG25,0,20,1987,i
9325743,Ahmed Khaleifa AlBedwawi,UAE,M,,,,ACM,AUG25,1564,0,2011,
9319905,"Ahmed Khalfan, Alhefeiti",UAE,M,,,,1405,AUG25,0,40,2009,i
9326162,AHMED KHAMIS ALMAZROUEI,UAE,M,,,,1574,AUG25,0,40,2011,
9313419,Ahmed Mohamed Abdulla,UAE,M,,,,1595,AUG25,0,20,2004,i
9323325,Ahmed Mohamed Al Hammadi,UAE,M,,,,1467,AUG25,0,40,2011,i
9314261,Ahmed Mohamed Qayed,UAE,M,,,,1610,AUG25,0,20,1998,i
9324496,Ahmed Mohammad Showain,UAE,M,,,,1479,AUG25,0,40,2007,i
9313370,Ahmed Rashed Al Hefeti,UAE,M,,,,1786,AUG25,0,20,2002,i
9320865,Ahmed Rashed Marshool,UAE,M,,,,1519,AUG25,0,40,2010,
9316310,Ahmed Rashed Mohd R Alshamsi,UAE,M,,,,1468,AUG25,0,40,2006,i
9318631,"Ahmed Waqqas, Alawlaqi",UAE,M,,,,1637,AUG25,0,20,2006,
9324585,Ahmed Younes Alkhemeiri,UAE,M,,,,1582,AUG25,0,40,2013,
9303677,"Ahmed, Fareed",UAE,M,FM,,,2081,AUG25,0,20,1998,
9300449,"Ahmed, Fayez",UAE,M,,,,1939,AUG25,0,20,1978,i
9323988,Ahoud Eisa Mohamed,UAE,F,,,,1598,AUG25,0,40,2011,w
9333355,Aisha Ahmed Mohamed AlAli,UAE,F,,,,1402,AUG25,0,40,2015,w
9314741,Aisha Mohamed Al Muaini,UAE,F,,,,1522,AUG25,0,20,2006,w
9324143,Aisha Nasser AlZarooni,UAE,F,,NA,,1413,AUG25,0,40,2007,wi
9303391,"Al Ahbabai, Jumah",UAE,M,,,,1801,AUG25,0,20,0,i
9307028,"Al Ali, Aisha Saif",UAE,F,,,,1609,AUG25,0,20,2004,w
9300090,"Al Amery, Haitham",UAE,M,,NA,,1854,AUG25,0,20,1991,i
9308598,"Al Amoudy, Ahmad",UAE,M,,,,1692,AUG25,0,20,0,i
9308601,"Al Amoudy, Khalifa",UAE,M,,,,1708,AUG25,0,20,0,i
9308610,"Al Amoudy, Saif",UAE,M,,,,1676,AUG25,0,20,0,i
9309608,"Al Darmaky, Sultan",UAE,M,,,,1810,AUG25,0,20,2004,i
9305335,"Al Dhaffari, Salma",UAE,F,WFM,WFM,,1683,AUG25,0,20,1995,w
9313460,"Al Dhahri, Khaled",UAE,M,,,,1519,AUG25,0,20,2004,i
9302204,"Al Hamed, Saif Idrees",UAE,M,,,,1719,AUG25,0,20,1999,i
9309896,"Al Hosani, Hamda",UAE,F,,,,1456,AUG25,0,20,0,wi
9308733,"Al Hosani, Omran",UAE,M,IM,,,2174,AUG25,0,20,2002,
9311378,"Al Hosani, Saeed",UAE,M,,,,1683,AUG25,0,20,2003,i
9309900,"Al Hosani, Sara",UAE,F,,,,1507,AUG25,0,20,0,wi
9304541,"Al Kalbani, Wadima",UAE,F,WFM,WFM,,1629,AUG25,0,20,2000,w
9317457,"Al Khoori, Noora Mahmood Abdulla",UAE,F,,,,1501,AUG25,0,40,2008,w
9305734,"Al Maamari, Wafia Darwish",UAE,F,WFM,WFM,,1893,AUG25,0,20,2003,w
