ID Number,Name,Fed,Sex,Title,WTit,OTit,FOA,Rating,Gms,K,B-day,Flag
3002330,"Abadal, Marcelo",URU,M,,FI,,1911,AUG25,0,20,1979,
3005623,"Abeliano Pons, Sebastian",URU,M,,,,1578,AUG25,0,40,2003,i
3024091,"Acosta Perello, Nicolas",URU,M,,,,1642,AUG25,0,40,1986,i
3021580,"Acosta, Gustavo",URU,M,,,,1822,AUG25,0,40,1969,i
3031462,"Acosta, Rodrigo",URU,M,,,,1656,AUG25,0,40,2004,
3006727,"Acosta, Vicente",URU,M,,,,1849,AUG25,0,20,1989,i
3003361,"Agrasot, Antonio",URU,M,,,,1715,AUG25,0,20,1953,
3009254,"Aguerre, Geronimo",URU,M,,,,1657,AUG25,0,40,2007,i
3029247,"Aguerre, Jose",URU,M,,,,1728,AUG25,8,20,1991,
3004449,"Aguerre, Valentin",URU,M,,,,1822,AUG25,0,20,2002,i
3017044,"Aguiar, Lucia",URU,F,,,,1572,AUG25,0,40,2000,wi
3016650,"Aguilar Acosta, Santiago",URU,M,,,,1602,AUG25,0,20,1993,i
3006689,"Aguilar, Carla",URU,F,,NA,,1534,AUG25,0,20,1976,wi
3034011,"Aguilera, Rensso",URU,M,,,,1505,AUG25,5,40,1988,
3014487,"Aguirre Barreto, Juan",URU,M,,,,1791,AUG25,0,20,1991,i
3011577,"Aguirre, Milagros",URU,F,,,,1669,AUG25,3,40,2006,w
3015815,"Aires Pineiro, Washington",URU,M,,,,1618,AUG25,0,20,1957,i
3002110,"Aires, Washington",URU,M,,,,1684,AUG25,0,20,1954,i
3018911,"Alcalde, Emiliano",URU,M,,,,1540,AUG25,0,40,2000,
3029778,"Alegrette, Manuel",URU,M,,,,1718,AUG25,0,40,2003,
3022226,"Alfonso, Yanier",URU,M,,,,1591,AUG25,0,40,1990,i
3011585,"Allegretti, Nelson",URU,M,,,,1725,AUG25,0,40,1988,
3001130,"Almada, Marcelo",URU,M,,,,2125,AUG25,0,20,1967,i
3002462,"Almandos, Carlos",URU,M,,,,1833,AUG25,4,20,1984,
3029174,"Alonso, Daniel",URU,M,,,,1500,AUG25,0,40,1950,
3017613,"Altesor, Caterina",URU,F,,,,1723,AUG25,0,40,2008,w
3003116,"Altuna, Pedro",URU,M,,,,1688,AUG25,0,20,1978,
3013251,"Alvarez Navarro, Eduardo",URU,M,,,,1813,AUG25,0,20,2003,i
3016579,"Alvarez, Mariano",URU,M,,,,1486,AUG25,0,20,1983,i
3012590,"Alvarez, Mateo",URU,M,,,,1889,AUG25,0,20,1996,
3022641,"Alvarez, Nazareno",URU,M,,,,1731,AUG25,0,40,1999,i
3003590,"Alvarez, Richard Emiliano",URU,M,,,,1798,AUG25,0,20,1996,i
3014002,"Alves, Anaclara",URU,F,,,,1766,AUG25,0,40,2006,w
3013685,"Alzugaray, Ernesto",URU,M,,,,1756,AUG25,0,20,1975,i
3022960,"Amador, Dylan",URU,M,,,,1797,AUG25,0,40,2011,
3022951,"Amador, Isaac",URU,M,,,,1681,AUG25,0,40,2014,
3009947,"Amaral, Francisco",URU,M,,,,1833,AUG25,0,20,2000,i
3014312,"Amaral, Jonathan",URU,M,,SI,,1601,AUG25,2,20,1993,
3010570,"Andrades, Mario",URU,M,,,,1951,AUG25,0,20,1976,i
3007510,"Anza, Vicenzo",URU,M,,,,AIM,AUG25,1830,0,2001,i
3009378,"Aprahamian, Tomas",URU,M,,,,1702,AUG25,0,40,2008,i
3009173,"Aramburu, Gabriel",URU,M,,,,1924,AUG25,5,20,1976,
3017729,"Araque, Silvana",URU,F,,,,1623,AUG25,5,40,2012,w
3002403,"Araya Gonzalez, Hamlet",URU,M,,NI,,1796,AUG25,0,40,1982,
3001199,"Arcos Facio, Mateo",URU,M,FM,,,2098,AUG25,0,20,1992,
3002624,"Arean, Martin",URU,M,,,,1978,AUG25,5,20,1987,
3016102,"Areeb, Jazy",URU,M,,,,1866,AUG25,0,20,2000,i
3016668,"Argain, Agustin",URU,M,,,,1424,AUG25,0,40,2012,i
3008665,"Argimon, Mauricio",URU,M,,,,1580,AUG25,0,40,1988,i
3000389,"Arias Bouzada, Jorge",URU,M,CM,,,2045,AUG25,0,20,1975,
3012328,"Arias, Raul",URU,M,,,,1647,AUG25,0,20,1980,i
3015939,"Arismendi, Lucas",URU,M,,,,1756,AUG25,0,20,2000,i
3012638,"Armanzo, Daniel",URU,M,,,,1759,AUG25,0,40,1997,
3021386,"Arocha, Cristian",URU,M,,,,1593,AUG25,0,40,1988,i
3029590,"Arrarte, Agustin",URU,M,,,,1550,AUG25,0,20,1997,
3034542,"Arrarte, Marcelo",URU,M,,,,1654,AUG25,9,40,2000,
3002667,"Arrieta, Gonzalo",URU,M,,,,1924,AUG25,0,20,1993,i
3021670,"Arrieta, Martin",URU,M,,,,1565,AUG25,0,40,1979,
3009815,"Arriola, Adrian",URU,M,,,,1763,AUG25,0,20,2001,
3012581,"Astor, Andres",URU,M,,,,1620,AUG25,4,40,1985,
3001423,"Augoustis Funti, Alexis",URU,M,CM,,,1960,AUG25,0,20,1993,i
3005011,"Avedisian, Alexander",URU,M,,,,1927,AUG25,0,20,1974,i
3017273,"Avila, Jose Emilio",URU,M,,,,1689,AUG25,0,20,1969,
3027309,"Azambuya, Joel",URU,M,,,,1764,AUG25,0,40,2007,
3008568,"Ballestra Altez, Leonel",URU,M,,,,1836,AUG25,0,20,1990,i
3008398,"Ballestra, Juan",URU,M,,,,1770,AUG25,0,20,1965,i
3022838,"Baptista, Emiliano",URU,M,,,,1507,AUG25,18,40,2009,
3004694,"Barandiaran, Gabriel",URU,M,,,,1865,AUG25,0,20,1958,
3010511,"Baratta, Daniel",URU,M,,,,1527,AUG25,0,20,1981,i
3000567,"Barboza, Mauro",URU,M,,,,1906,AUG25,0,20,1947,
3002489,"Barcos, Luciano",URU,M,,,,1817,AUG25,0,40,1992,
3006018,"Barla, Rafael",URU,M,,,,1855,AUG25,0,20,1960,i
3012450,"Barreiro, Gaston",URU,M,,,,1539,AUG25,0,40,2009,i
3009688,"Barreto, Carlos",URU,M,,,,1790,AUG25,0,20,1981,
3018938,"Barros, Brian",URU,M,,,,1917,AUG25,0,20,2005,
3022722,"Barros, Mathias",URU,M,,,,1810,AUG25,0,40,2007,
3010392,"Batista, Joao",URU,M,,,,1814,AUG25,0,20,1951,i
3000060,"Bauza, Alejandro",URU,M,FM,,,2121,AUG25,5,20,1959,
3002551,"Belbey, Juan",URU,M,,,,1754,AUG25,0,20,1987,
3002853,"Bell, Enrique",URU,M,,,,1870,AUG25,0,20,1974,i
3015190,"Belsito, Ivan",URU,M,,,,1727,AUG25,0,40,2006,
3003108,"Benitez, Andres",URU,M,,,,1994,AUG25,5,20,1988,
3011348,"Benitez, Bruno",URU,M,,,,1605,AUG25,0,40,2007,
3002616,"Benitez, Matias",URU,M,,,,1939,AUG25,0,40,1989,i
3028151,"Bennett, Mateo",URU,M,,,,1452,AUG25,0,40,2006,
3012786,"Bentaberry, Jorge",URU,M,,,,1630,AUG25,0,20,1981,i
3018580,"Bentancor, Alonso",URU,M,,,,1599,AUG25,3,40,2008,
3010996,"Bentancur, Candela",URU,F,,,,1567,AUG25,0,40,2008,w
3010597,"Bentancurt, Juan",URU,M,,,,1804,AUG25,3,20,1954,
3015203,"Bertolotti, Juan Ignacio",URU,M,,,,1549,AUG25,0,40,2012,i
3001849,"Bertucci, Santiago",URU,M,,,,1871,AUG25,0,20,1990,i
3009556,"Bianco, Rocio",URU,F,,,,1499,AUG25,3,40,2006,w
3001938,"Billar, Juan Francisco",URU,M,,,,1761,AUG25,0,20,1940,
3000214,"Blanchard, Marcel",URU,M,,,,1905,AUG25,0,20,1963,i
3033317,"Blanco, Ezequiel",URU,M,,,,1634,AUG25,0,40,1994,
3011321,"Blanco, Rudemar Ernesto",URU,M,,,,1692,AUG25,0,20,1971,
3005054,"Blixen, Federico",URU,M,,,,1698,AUG25,0,40,1955,i
3029158,"Bobba, Pablo",URU,M,,,,1630,AUG25,3,40,1957,
3006859,"Bon, Charles",URU,M,,,,1725,AUG25,0,20,1975,
3000672,"Bonilla, Fernando",URU,M,,,,1772,AUG25,17,20,1971,
3011410,"Bores, Andres",URU,M,,,,1600,AUG25,0,40,1986,i
3012743,"Bores, Felix",URU,M,,,,1880,AUG25,0,20,1986,i
3016471,"Borgiani, Francisco",URU,M,,,,1816,AUG25,0,20,2003,
3016463,"Borgiani, Juan",URU,M,,,,1649,AUG25,0,40,2009,
3016480,"Borgiani, Leonardo",URU,M,,,,1821,AUG25,0,20,1978,
3018148,"Borrelli, Joaquin",URU,M,,,,1457,AUG25,0,40,2015,
3011224,"Bossi, Hugo",URU,M,,,,1494,AUG25,0,20,1956,
3000346,"Bourgeois, William",URU,M,,,,1899,AUG25,0,20,1957,i
3016137,"Braga, Juan",URU,M,,,,1518,AUG25,0,40,2002,
