ID Number,Name,Fed,Sex,Title,WTit,OTit,FOA,Rating,Gms,K,B-day,Flag
8722072,Akalaluka Mubita,ZAM,M,,,,1876,AUG25,0,40,1998,i
8705275,"Akazembe, Moses",ZAM,M,,,,1845,AUG25,0,20,1974,
8701067,Banda Aaron,ZAM,M,,,,1947,AUG25,13,20,1973,
8731837,Banda Alfred Chabota,ZAM,M,,,,1655,AUG25,0,40,1996,
8722501,Banda Alton,ZAM,M,,,,1943,AUG25,0,20,2002,
8722498,Banda Bertha,ZAM,F,,,,1523,AUG25,4,40,2012,w
8725810,Banda Gift,ZAM,M,,,,1657,AUG25,4,40,2008,
8705755,Banda Maria,ZAM,F,,,,1747,AUG25,0,20,2003,wi
8704520,"Banda, Brian",ZAM,M,,,,1939,AUG25,0,20,1989,i
8705291,"Banda, Ferguson",ZAM,M,,,,1827,AUG25,7,40,0,
415383,"Banda, Graham",ZAM,M,,,,1800,AUG25,0,20,1961,i
8709998,Benaya Lennox,ZAM,M,,,,1804,AUG25,0,40,1994,i
8733708,Biaise Iranzi,ZAM,M,,,,1706,AUG25,0,40,2003,
8731411,Bwalya Diana,ZAM,F,,,,1458,AUG25,0,40,2005,w
8727821,Bwalya Margret,ZAM,F,,,,1791,AUG25,4,40,2010,w
8706964,"Bwalya Mulwale, Lubuuto",ZAM,F,WCM,WCM,,1829,AUG25,0,20,2001,w
8700257,"Bwalya, Gillan",ZAM,M,IM,,,2239,AUG25,0,20,1988,
8722196,Bwanga Emmanuel,ZAM,M,,,,1965,AUG25,0,20,2001,
8712573,Bwembya Mula,ZAM,M,,,,2019,AUG25,0,20,1996,i
8724741,Chabala Lwando,ZAM,M,,,,1860,AUG25,7,40,1985,
8733988,Chanda Gabriel,ZAM,M,,,,1589,AUG25,3,40,2009,
8701610,"Chansa, Jackson",ZAM,M,,,,2060,AUG25,0,20,1983,i
8700737,Charles Mununkila,ZAM,M,,,,1865,AUG25,0,20,1980,i
8702632,"Chasaya, Terence",ZAM,M,,,,1932,AUG25,7,20,1995,
8726965,Chemba Joana,ZAM,F,,SI,,1575,AUG25,0,20,1988,wi
8714576,Chewe Joshua,ZAM,M,,,,1712,AUG25,0,20,2004,
8730474,Chibale Bevery,ZAM,F,,,,1689,AUG25,0,40,2004,w
8711518,Chibale Herris,ZAM,M,,,,1840,AUG25,6,20,1988,
8729093,Chibesa Collins,ZAM,M,,,,1715,AUG25,0,40,2001,i
